Season,Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,DB_clusters
2018,Fabinho,br BRA,MF,24,22.4,1,17,4,23.5,0.76,0.18,0.06,0.25,23.3,0,0,0,0.8,0.8,0.05,0.2,0.2,0
2018,Jordan Henderson,eng ENG,MF,28,22.1,1,16,1,6.3,0.72,0.05,0.06,1.0,18.2,0,0,0,1.6,1.6,0.1,-0.6,-0.6,1
2018,James Milner,eng ENG,MF,32,19.9,5,21,4,19.0,1.06,0.2,0.1,0.5,21.7,1,3,3,4.0,1.7,0.08,1.0,0.3,-1
2018,Joël Matip,cm CMR,DF,26,17.1,1,8,2,25.0,0.47,0.12,0.13,0.5,7.6,0,0,0,0.6,0.6,0.08,0.4,0.4,0
2018,Naby Keïta,gn GUI,MF,23,15.4,2,28,10,35.7,1.81,0.65,0.07,0.2,17.3,0,0,0,2.5,2.5,0.09,-0.5,-0.5,0
2018,Joe Gomez,eng ENG,DF,21,11.8,0,5,1,20.0,0.42,0.08,0.0,0.0,14.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2,0
2018,Xherdan Shaqiri,ch SUI,MF,26,11.8,6,26,10,38.5,2.2,0.85,0.23,0.6,19.0,5,0,0,3.7,3.7,0.14,2.3,2.3,-1
2018,Dejan Lovren,hr CRO,DF,29,11.0,1,6,1,16.7,0.55,0.09,0.17,1.0,13.3,0,0,0,0.7,0.7,0.12,0.3,0.3,1
2018,Adam Lallana,eng ENG,MF,30,5.2,0,5,1,20.0,0.96,0.19,0.0,0.0,17.1,0,0,0,0.5,0.5,0.1,-0.5,-0.5,0
2018,Daniel Sturridge,eng ENG,FW,28,5.7,2,18,6,33.3,3.18,1.06,0.11,0.33,20.3,0,0,0,1.3,1.3,0.07,0.7,0.7,0
