Season,Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Drb_Tkl,Att,Tkl%,Past,Press,Succ,Press%,Press Def 3rd,Press Mid 3rd,Press Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,DB_clusters
2018,Joël Matip,cm CMR,DF,26,17.1,33,21,17,11,5,12,22,54.5,10,167,65,38.9,91,64,12,16,5,0,11,29,62,89,1,-1
2018,Naby Keïta,gn GUI,MF,23,15.4,42,24,14,18,10,14,42,33.3,28,396,128,32.3,111,186,99,36,4,0,32,9,51,15,0,0
2018,Joe Gomez,eng ENG,DF,21,11.8,20,11,13,7,0,7,14,50.0,7,97,26,26.8,52,37,8,16,6,0,10,24,44,51,1,-1
2018,Xherdan Shaqiri,ch SUI,MF,26,11.8,11,5,3,6,2,3,17,17.6,14,182,50,27.5,29,86,67,9,1,0,8,16,27,5,0,2
2018,Dejan Lovren,hr CRO,DF,29,11.0,15,8,11,3,1,5,12,41.7,7,86,32,37.2,51,32,3,20,9,0,11,22,37,60,2,-1
2018,Adam Lallana,eng ENG,MF,30,5.2,14,8,5,6,3,5,12,41.7,7,136,45,33.1,35,60,41,16,0,0,16,5,19,4,0,2
2018,Daniel Sturridge,eng ENG,FW,28,5.7,3,2,1,1,1,1,3,33.3,2,55,19,34.5,6,28,21,2,0,0,2,1,4,2,0,2
2018,Divock Origi,be BEL,FW,23,4.1,6,4,2,3,1,0,2,0.0,2,76,23,30.3,15,34,27,3,0,0,3,2,8,1,0,2
2018,Alberto Moreno,es ESP,DF,26,1.7,3,1,1,2,0,1,2,50.0,1,11,1,9.1,6,4,1,3,0,0,3,4,7,2,0,2
2018,Nathaniel Clyne,eng ENG,DF,27,1.2,4,0,2,2,0,1,3,33.3,2,18,4,22.2,7,3,8,0,0,0,0,3,7,2,0,2
2018,Alex Oxlade-Chamberlain,eng ENG,MF,24,0.2,1,0,0,1,0,1,1,100.0,0,3,0,0.0,0,2,1,2,0,0,2,0,1,0,0,-1
2018,Rafael Camacho,pt POR,DF,18,0.0,1,0,1,0,0,1,1,100.0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,-1
2019,Virgil van Dijk,nl NED,DF,28,38.0,30,20,20,9,1,6,15,40.0,9,133,46,34.6,84,37,12,32,16,1,16,24,54,259,2,-1
2019,Trent Alexander-Arnold,eng ENG,DF,20,35.3,58,25,38,14,6,34,85,40.0,51,409,131,32.0,193,123,93,53,9,0,44,34,92,98,2,-1
2019,Georginio Wijnaldum,nl NED,MF,28,32.6,37,29,13,17,7,5,34,14.7,29,489,160,32.7,126,256,107,35,4,0,31,14,51,34,1,3
2019,Andrew Robertson,sct SCO,DF,25,34.6,60,32,19,25,16,30,68,44.1,38,390,134,34.4,136,144,110,59,7,0,52,30,90,82,0,-1
2019,Roberto Firmino,br BRA,FW,27,33.2,37,26,7,17,13,10,34,29.4,24,694,216,31.1,58,306,330,47,5,0,42,11,48,16,0,3
2019,Mohamed Salah,eg EGY,FW,27,32.0,21,13,3,5,13,4,27,14.8,23,552,180,32.6,49,161,342,13,3,0,10,5,26,2,0,0
2019,Sadio Mané,sn SEN,FW,27,30.5,50,35,13,23,14,15,46,32.6,31,504,153,30.4,108,168,228,30,1,0,29,11,61,5,0,3
2019,Alisson,br BRA,GK,26,28.3,0,0,0,0,0,0,3,0.0,3,5,1,20.0,5,0,0,0,0,0,0,1,1,2,1,-1
2019,Jordan Henderson,eng ENG,MF,29,24.9,65,36,23,30,12,23,63,36.5,40,532,169,31.8,135,286,111,37,5,0,32,12,77,27,0,-1
2019,Fabinho,br BRA,MF,25,23.1,77,53,27,37,13,26,65,40.0,39,428,139,32.5,149,219,60,36,2,0,34,25,102,34,0,-1
2019,Joe Gomez,eng ENG,DF,22,22.3,26,15,17,9,0,10,22,45.5,12,151,60,39.7,92,55,4,25,8,0,17,19,45,90,1,-1
2019,Alex Oxlade-Chamberlain,eng ENG,MF,25,16.5,23,14,4,12,7,5,24,20.8,19,374,111,29.7,79,171,124,27,2,0,25,13,36,7,0,-1
2019,James Milner,eng ENG,MF,33,10.4,17,10,3,13,1,4,22,18.2,18,169,41,24.3,50,93,26,15,3,1,12,7,24,25,0,-1
2019,Adrián,es ESP,GK,32,9.7,0,0,0,0,0,0,1,0.0,1,2,0,0.0,2,0,0,0,0,0,0,0,0,0,2,-1
2019,Naby Keïta,gn GUI,MF,24,9.1,27,20,8,13,6,9,25,36.0,16,213,78,36.6,41,99,73,19,0,0,19,14,41,4,0,-1
2019,Dejan Lovren,hr CRO,DF,30,8.6,16,9,12,4,0,7,13,53.8,6,80,22,27.5,56,22,2,13,6,0,7,8,24,81,1,-1
2019,Joël Matip,cm CMR,DF,27,7.8,13,9,5,6,2,5,12,41.7,7,64,27,42.2,35,27,2,7,3,0,4,5,18,76,0,2
2019,Divock Origi,be BEL,FW,24,8.0,15,10,2,7,6,4,7,57.1,3,152,53,34.9,15,61,76,6,0,0,6,2,17,7,0,2
2019,Adam Lallana,eng ENG,MF,31,4.2,20,12,9,9,2,9,27,33.3,18,132,41,31.1,45,55,32,13,0,0,13,6,26,3,0,2
2019,Neco Williams,wls WAL,DF,18,2.6,6,2,1,3,2,3,4,75.0,1,36,12,33.3,11,15,10,7,1,0,6,2,8,8,0,2
2019,Takumi Minamino,jp JPN,FW,24,2.8,4,3,1,3,0,1,7,14.3,6,63,20,31.7,11,27,25,3,0,0,3,0,4,2,0,2
2019,Xherdan Shaqiri,ch SUI,MF,27,2.1,1,0,0,1,0,0,0,0.0,0,39,12,30.8,11,13,15,1,0,0,1,0,1,0,0,2
2019,Curtis Jones,eng ENG,MF,18,1.4,3,2,0,1,2,2,3,66.7,1,27,7,25.9,5,8,14,3,0,0,3,3,6,1,0,2
2019,Harvey Elliott,eng ENG,DF,16,0.1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2
2020,Andrew Robertson,sct SCO,DF,26,37.6,53,28,30,16,7,31,64,48.4,33,353,120,34.0,117,127,109,62,10,1,52,34,87,91,1,-1
2020,Mohamed Salah,eg EGY,FW,28,34.2,26,13,6,7,13,6,16,37.5,10,553,153,27.7,45,165,343,14,1,0,13,9,35,11,1,-1
2020,Trent Alexander-Arnold,eng ENG,DF,21,33.7,58,36,29,21,8,33,57,57.9,24,328,115,35.1,124,113,91,44,4,0,40,49,107,71,2,-1
2020,Georginio Wijnaldum,nl NED,MF,29,32.7,30,24,9,16,5,9,34,26.5,25,425,154,36.2,122,215,88,37,3,0,34,25,55,24,1,3
2020,Alisson,br BRA,GK,27,33.0,0,0,0,0,0,0,1,0.0,1,5,1,20.0,5,0,0,0,0,0,0,0,0,1,7,-1
2020,Roberto Firmino,br BRA,FW,28,31.5,35,22,4,14,17,12,38,31.6,26,596,175,29.4,73,279,244,58,5,0,53,10,45,11,0,3
2020,Sadio Mané,sn SEN,FW,28,31.2,42,32,8,18,16,9,26,34.6,17,467,158,33.8,65,167,235,39,2,0,37,15,57,7,0,3
2020,Fabinho,br BRA,MF,26,28.5,72,51,25,40,7,25,56,44.6,31,351,115,32.8,120,200,31,41,12,0,29,49,121,106,0,-1
2020,Thiago Alcántara,es ESP,MF,29,20.6,68,43,27,29,12,19,50,38.0,31,462,135,29.2,120,232,110,28,1,0,27,42,110,21,0,-1
2020,Jordan Henderson,eng ENG,MF,30,18.9,19,9,8,7,4,8,29,27.6,21,185,60,32.4,60,86,39,28,4,1,24,30,49,43,1,-1
2020,Nathaniel Phillips,eng ENG,DF,23,16.2,18,12,13,5,0,4,23,17.4,19,193,69,35.8,89,96,8,23,16,2,7,29,47,143,0,-1
2020,Curtis Jones,eng ENG,MF,19,13.1,21,16,8,8,5,10,23,43.5,13,234,70,29.9,51,110,73,18,0,0,18,17,38,10,1,-1
2020,Diogo Jota,pt POR,FW,23,12.4,14,10,4,7,3,5,35,14.3,30,296,75,25.3,59,105,132,12,1,0,11,8,22,4,0,2
2020,James Milner,eng ENG,MF,34,11.9,26,14,8,16,2,10,36,27.8,26,209,69,33.0,52,121,36,39,4,0,35,16,42,21,1,-1
2020,Ozan Kabak,tr TUR,DF,20,8.9,19,10,12,4,3,2,7,28.6,5,103,41,39.8,58,40,5,5,3,0,2,12,31,49,1,-1
2020,Joël Matip,cm CMR,DF,28,7.7,15,11,11,4,0,5,8,62.5,3,58,24,41.4,35,20,3,7,0,0,7,4,19,28,0,2
2020,Rhys Williams,eng ENG,DF,19,7.3,6,2,2,4,0,1,2,50.0,1,54,15,27.8,29,21,4,5,4,0,1,8,14,67,1,-1
2020,Naby Keïta,gn GUI,MF,25,5.8,7,5,4,2,1,2,18,11.1,16,144,37,25.7,18,75,51,11,0,0,11,12,19,6,0,2
2020,Joe Gomez,eng ENG,DF,23,6.6,5,2,2,3,0,0,4,0.0,4,39,15,38.5,24,13,2,7,3,0,4,5,10,32,2,-1
2020,Xherdan Shaqiri,ch SUI,MF,28,6.2,6,4,4,1,1,2,6,33.3,4,100,33,33.0,22,36,42,8,0,0,8,4,10,1,0,2
2020,Virgil van Dijk,nl NED,DF,29,4.1,3,1,1,2,0,0,1,0.0,1,14,3,21.4,7,7,0,3,2,0,1,0,3,12,1,2
2020,Adrián,es ESP,GK,33,3.0,0,0,0,0,0,0,0,0.0,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,1,-1
2020,Neco Williams,wls WAL,DF,19,2.8,6,5,4,2,0,3,8,37.5,5,45,13,28.9,17,18,10,8,1,0,7,5,11,4,0,2
2020,Takumi Minamino,jp JPN,FW,25,3.3,4,3,1,2,1,0,12,0.0,12,82,25,30.5,19,41,22,0,0,0,0,0,4,3,0,2
2020,Alex Oxlade-Chamberlain,eng ENG,MF,26,2.8,2,1,0,2,0,0,7,0.0,7,49,13,26.5,4,26,19,3,0,0,3,1,3,1,0,2
2020,Divock Origi,be BEL,FW,25,2.1,5,4,1,3,1,1,1,100.0,0,44,16,36.4,3,14,27,4,1,0,3,1,6,2,0,-1
2020,Caoimhín Kelleher,ie IRL,GK,21,2.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,2
2020,Kostas Tsimikas,gr GRE,DF,24,0.1,0,0,0,0,0,0,0,0.0,0,4,3,75.0,0,2,2,0,0,0,0,0,0,0,0,-1
2021,Alisson,br BRA,GK,28,36.0,0,0,0,0,0,0,2,0.0,2,6,3,50.0,6,0,0,1,0,0,1,0,0,1,2,-1
2021,Virgil van Dijk,nl NED,DF,30,34.0,21,12,13,7,1,11,15,73.3,4,124,44,35.5,72,45,7,31,16,1,15,47,68,135,1,-1
2021,Trent Alexander-Arnold,eng ENG,DF,22,31.7,44,24,22,15,7,23,59,39.0,36,288,97,33.7,114,88,86,39,5,1,34,76,120,43,1,-1
2021,Sadio Mané,sn SEN,FW,29,31.3,33,18,7,13,13,8,25,32.0,17,452,143,31.6,57,193,202,36,4,0,32,15,48,10,0,3
2021,Joël Matip,cm CMR,DF,29,31.0,48,36,24,18,6,17,29,58.6,12,210,89,42.4,117,74,19,38,17,1,21,66,114,121,1,-1
