season,Player,Nation,Pos,Age,90s,Gls,Ast,G-PK,PK,CrdY,CrdR,Gls_90,Ast_90,G+A_90,G-PK_90,xG,npxG,xA,xG_90,xA_90,xG+xA_90,npxG_90,DB_clusters
2018,Sadio Mané,sn SEN,FW,26,34.2,22.0,1.0,22.0,0.0,2.0,0.0,0.64,0.03,0.67,0.64,17.3,17.3,4.4,0.51,0.13,0.63,0.51,1
2018,Georginio Wijnaldum,nl NED,MF,27,30.3,3.0,0.0,3.0,0.0,3.0,0.0,0.1,0.0,0.1,0.1,2.9,2.9,1.4,0.09,0.05,0.14,0.09,0
2018,Roberto Firmino,br BRA,FW,26,29.0,12.0,6.0,11.0,1.0,0.0,0.0,0.41,0.21,0.62,0.38,13.3,12.5,6.0,0.46,0.21,0.66,0.43,1
2018,Trent Alexander-Arnold,eng ENG,DF,19,27.4,1.0,12.0,1.0,0.0,3.0,0.0,0.04,0.44,0.48,0.04,1.4,1.4,6.5,0.05,0.24,0.29,0.05,0
2018,Fabinho,br BRA,MF,24,22.4,1.0,2.0,1.0,0.0,6.0,0.0,0.04,0.09,0.13,0.04,0.8,0.8,1.3,0.04,0.06,0.09,0.04,0
2018,Jordan Henderson,eng ENG,MF,28,22.1,1.0,3.0,1.0,0.0,2.0,1.0,0.05,0.14,0.18,0.05,1.6,1.6,1.5,0.07,0.07,0.14,0.07,-1
2018,James Milner,eng ENG,MF,32,19.9,5.0,4.0,2.0,3.0,6.0,1.0,0.25,0.2,0.45,0.1,4.0,1.7,5.4,0.2,0.27,0.48,0.09,-1
2018,Joël Matip,cm CMR,DF,26,17.1,1.0,0.0,1.0,0.0,3.0,0.0,0.06,0.0,0.06,0.06,0.6,0.6,0.1,0.04,0.0,0.04,0.04,0
2018,Naby Keïta,gn GUI,MF,23,15.4,2.0,1.0,2.0,0.0,0.0,0.0,0.13,0.06,0.19,0.13,2.5,2.5,0.8,0.16,0.05,0.21,0.16,0
2018,Joe Gomez,eng ENG,DF,21,11.8,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.02,0.02,0.04,0.02,0
2018,Xherdan Shaqiri,ch SUI,MF,26,11.8,6.0,3.0,6.0,0.0,2.0,0.0,0.51,0.25,0.76,0.51,3.7,3.7,2.2,0.32,0.19,0.5,0.32,0
2018,Dejan Lovren,hr CRO,DF,29,11.0,1.0,0.0,1.0,0.0,1.0,0.0,0.09,0.0,0.09,0.09,0.7,0.7,0.1,0.07,0.01,0.08,0.07,0
2018,Adam Lallana,eng ENG,MF,30,5.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.6,0.1,0.11,0.2,0.1,0
2018,Daniel Sturridge,eng ENG,FW,28,5.7,2.0,1.0,2.0,0.0,1.0,0.0,0.35,0.18,0.53,0.35,1.3,1.3,1.2,0.22,0.22,0.44,0.22,0
2018,Divock Origi,be BEL,FW,23,4.1,3.0,1.0,3.0,0.0,0.0,0.0,0.73,0.24,0.97,0.73,2.3,2.3,0.2,0.55,0.04,0.59,0.55,0
2018,Alberto Moreno,es ESP,DF,26,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.01,0.17,0.18,0.01,0
