Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Mohamed Salah\e342ad68,eg EGY,FW,25,36,2907,81,85,32.3,34,,17,2,,0,1.97,77,30,+47,+1.46,+1.63,65.4,27,+38.4,+1.19,+1.11,Matches
Roberto Firmino\4c370d81,br BRA,FW,25,37,2763,75,80.8,30.7,32,,12,5,,1,2,73,32,+41,+1.34,+0.65,61.8,28.4,+33.4,+1.09,+0.36,Matches
Sadio Mané\c691bfe2,sn SEN,FWMF,25,29,2190,76,64,24.3,28,,9,1,,3,1.97,53,19,+34,+1.40,+0.52,49.1,18.7,+30.4,+1.25,+0.64,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,26,33,2387,72,69.8,26.5,27,,21,6,,2,2.03,60,23,+37,+1.40,+0.61,50.5,25.5,+25.0,+0.94,-0.25,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,27,27,2171,80,63.5,24.1,25,,21,2,,4,1.93,52,21,+31,+1.29,+0.20,44.1,23,+21.1,+0.88,-0.4,Matches
Dejan Lovren\1a2935f6,hr CRO,DF,28,29,2127,73,62.2,23.6,24,,22,5,,5,2.07,54,24,+30,+1.27,+0.16,42.8,22.4,+20.4,+0.86,-0.41,Matches
Emre Can\a65ce836,de GER,MF,23,26,2091,80,61.1,23.2,24,,19,2,,3,2.08,56,29,+27,+1.16,-0.12,45,23.5,+21.5,+0.92,-0.25,Matches
Joël Matip\b217ef29,cm CMR,DF,25,25,1997,80,58.4,22.2,22,,22,3,,1,2.16,53,27,+26,+1.17,-0.09,46.6,22.1,+24.5,+1.10,+0.20,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,23,22,1940,88,56.7,21.6,22,,19,0,,5,2.14,53,18,+35,+1.62,+0.95,43.6,15.5,+28.1,+1.31,+0.66,Matches
Joe Gomez\7a11550b,eng ENG,DF,20,23,1902,83,55.6,21.1,21,,21,2,,6,1.96,47,22,+25,+1.18,-0.06,39.9,19.5,+20.4,+0.97,-0.12,Matches
Loris Karius\32e7ce92,de GER,GK,24,19,1710,90,50,19,19,,19,0,,19,2,40,14,+26,+1.37,+0.32,37.1,13.3,+23.8,+1.25,+0.46,Matches
Simon Mignolet\d436eb94,be BEL,GK,29,19,1710,90,50,19,19,,19,0,,18,1.95,44,24,+20,+1.05,-0.32,35.7,20.8,+15.0,+0.79,-0.46,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,18,19,1573,83,46,17.5,18,,14,1,,16,1.89,39,17,+22,+1.26,+0.09,35.1,15.5,+19.6,+1.12,+0.19,Matches
James Milner\2f90f6b8,eng ENG,MF,31,32,1775,55,51.9,19.7,16,,13,16,,5,2.06,40,25,+15,+0.76,-0.94,35.6,18.9,+16.7,+0.84,-0.36,Matches
Ragnar Klavan\008a6e6d,ee EST,DF,31,19,1451,76,42.4,16.1,16,,16,3,,11,2,31,15,+16,+0.99,-0.38,29.2,13.6,+15.6,+0.96,-0.1,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,23,32,1493,47,43.7,16.6,14,,5,18,,0,2,41,20,+21,+1.27,+0.10,29.1,15,+14.2,+0.85,-0.3,Matches
Alberto Moreno\11b9265b,es ESP,DF,25,16,1266,79,37,14.1,14,,14,2,,8,1.69,28,19,+9,+0.64,-0.91,25.9,16.4,+9.5,+0.67,-0.55,Matches
Virgil van Dijk\e06683ca,nl NED,DF,26,14,1260,90,36.8,14,14,,14,0,,1,1.79,27,10,+17,+1.21,+0.01,26.9,9.9,+17.1,+1.22,+0.32,Matches
Philippe Coutinho\0ef89a37,br BRA,MFFW,25,14,1109,79,32.4,12.3,13,,5,1,,1,1.79,29,14,+15,+1.22,+0.01,23.3,12.2,+11.1,+0.90,-0.18,Matches
