Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Dominic Solanke\e77dc3b2,eng ENG,FW,19,21,596,28,17.4,6.6,5,,3,16,,14,2,11,4,+7,+1.06,-0.19,12.2,4.6,+7.7,+1.16,+0.17,Matches
Daniel Sturridge\1b7ec703,eng ENG,FW,27,9,431,48,12.6,4.8,5,,1,4,,5,1.78,7,3,+4,+0.84,-0.43,9.6,3.8,+5.8,+1.21,+0.22,Matches
Danny Ings\07802f7f,eng ENG,FWMF,25,8,267,33,7.8,3,3,,0,5,,9,1.63,3,0,+3,+1.01,-0.22,5.9,1,+4.9,+1.66,+0.69,Matches
Nathaniel Clyne\0442183b,eng ENG,DFFW,26,3,174,58,5.1,1.9,2,,1,1,,2,0.67,0,1,-1,-0.52,-1.82,1.8,1.4,+0.4,+0.23,-0.84,Matches
Adam Lallana\99813635,eng ENG,MFFW,29,12,308,26,9,3.4,1,,0,11,,2,2.33,4,1,+3,+0.88,-0.37,4.1,1.3,+2.7,+1.00,-0.02,Matches
Marko Grujić\8b8e759d,rs SRB,MF,21,3,16,5,0.5,0.2,0,,0,3,,3,2,0,0,0,0,-1.22,0.1,0.1,0,-0.25,-1.27,Matches
Divock Origi\43a166b4,be BEL,FW,22,1,10,10,0.3,0.1,0,,0,1,,1,1,0,1,-1,-9,-10.24,0.2,0.9,-0.6,-5.54,-6.58,Matches
Ben Woodburn\8aadeaef,wls WAL,MF,17,1,7,7,0.2,0.1,0,,0,1,,5,3,1,0,+1,+12.86,+11.67,0.3,0,+0.3,+3.31,+2.29,Matches
Rafael Camacho\91b43c98,pt POR,FWMF,17,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Jon Flanagan\f2428fd4,eng ENG,DF,24,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Curtis Jones\4fb9c88f,eng ENG,MF,16,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Conor Masterson\db975607,ie IRL,DF,18,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Danny Ward\d3ce0e89,wls WAL,GK,24,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,25.6,38,3420,90,100,38,418,,,111,0,155,1.97,84,38,+46,+1.21,,72.8,34,+38.8,+1.02,,
Opponent Total,,,27.1,38,3420,90,100,38,418,85,,107,20,158,1.97,38,84,-46,-1.21,,34,72.8,-38.8,-1.02,,
