Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Mohamed Salah\e342ad68,eg EGY,FW,25,32.3,770,1038,74.2,12133,3648,422,521,81,255,328,77.7,62,120,51.7,10,9,+1.0,64,44,47,6,108,Matches
Roberto Firmino\4c370d81,br BRA,FW,25,30.7,888,1217,73,13021,3464,511,643,79.5,281,383,73.4,47,82,57.3,7,5.4,+1.6,53,66,47,4,121,Matches
Sadio Mané\c691bfe2,sn SEN,FWMF,25,24.3,774,983,78.7,12321,2661,410,499,82.2,293,345,84.9,50,84,59.5,7,4.9,+2.1,45,56,60,11,100,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,26,26.5,1144,1266,90.4,20455,3602,497,537,92.6,508,554,91.7,112,135,83,2,1.5,+0.5,23,85,15,1,74,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,27,24.1,1757,2058,85.4,37079,8883,613,654,93.7,792,898,88.2,325,458,71,1,1.8,-0.8,23,228,31,3,199,Matches
Dejan Lovren\1a2935f6,hr CRO,DF,28,23.6,1576,1729,91.2,33656,10157,410,434,94.5,898,940,95.5,260,338,76.9,1,0.3,+0.7,4,79,8,0,86,Matches
Emre Can\a65ce836,de GER,MF,23,23.2,1327,1535,86.4,25257,5197,530,584,90.8,609,666,91.4,170,243,70,4,2.9,+1.1,23,123,23,0,110,Matches
Joël Matip\b217ef29,cm CMR,DF,25,22.2,1461,1617,90.4,32466,10368,336,359,93.6,841,887,94.8,276,359,76.9,0,0.5,-0.5,4,94,2,0,104,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,23,21.6,1408,1667,84.5,23528,7747,697,750,92.9,586,676,86.7,99,177,55.9,5,3.3,+1.7,23,107,31,8,133,Matches
Joe Gomez\7a11550b,eng ENG,DF,20,21.1,1316,1587,82.9,24524,9060,502,545,92.1,667,781,85.4,139,234,59.4,2,1,+1.0,16,133,19,8,129,Matches
Loris Karius\32e7ce92,de GER,GK,24,19,445,620,71.8,12678,8362,63,63,100,234,235,99.6,147,320,45.9,0,0,0,0,3,0,0,0,Matches
Simon Mignolet\d436eb94,be BEL,GK,29,19,450,602,74.8,12222,7849,83,85,97.6,237,240,98.8,129,276,46.7,0,0,0,0,8,1,0,0,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,18,17.5,959,1282,74.8,18589,6795,415,457,90.8,385,484,79.5,147,291,50.5,1,2.2,-1.2,26,61,33,7,102,Matches
James Milner\2f90f6b8,eng ENG,MF,31,19.7,1324,1611,82.2,25126,8043,537,593,90.6,588,659,89.2,174,306,56.9,3,3.5,-0.5,34,179,39,9,179,Matches
Ragnar Klavan\008a6e6d,ee EST,DF,31,16.1,1094,1195,91.5,23112,6758,303,324,93.5,624,656,95.1,161,201,80.1,0,0.1,-0.1,4,60,6,0,51,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,23,16.6,602,785,76.7,12153,3414,219,260,84.2,272,325,83.7,96,170,56.5,7,4.1,+2.9,36,82,40,7,106,Matches
Alberto Moreno\11b9265b,es ESP,DF,25,14.1,790,956,82.6,15107,5287,298,327,91.1,398,455,87.5,90,150,60,0,0.8,-0.8,15,41,23,7,66,Matches
Virgil van Dijk\e06683ca,nl NED,DF,26,14,996,1069,93.2,22818,6351,253,260,97.3,516,531,97.2,221,266,83.1,0,0.8,-0.8,3,59,2,0,53,Matches
Philippe Coutinho\0ef89a37,br BRA,MFFW,25,12.3,561,755,74.3,11117,3681,208,252,82.5,252,305,82.6,88,160,55,6,4.2,+1.8,41,90,47,8,117,Matches
Dominic Solanke\e77dc3b2,eng ENG,FW,19,6.6,150,195,76.9,1871,382,94,110,85.5,42,55,76.4,3,5,60,1,2.1,-1.1,12,6,8,0,14,Matches
Daniel Sturridge\1b7ec703,eng ENG,FW,27,4.8,96,121,79.3,1501,358,53,62,85.5,33,41,80.5,7,10,70,1,0.9,+0.1,11,9,7,0,16,Matches
Danny Ings\07802f7f,eng ENG,FWMF,25,3,51,76,67.1,865,184,25,34,73.5,17,21,81,6,9,66.7,0,0.2,-0.2,3,3,2,0,5,Matches
Nathaniel Clyne\0442183b,eng ENG,DFFW,26,1.9,111,138,80.4,1855,602,50,57,87.7,47,56,83.9,9,15,60,0,0.1,-0.1,1,6,3,2,9,Matches
Adam Lallana\99813635,eng ENG,MFFW,29,3.4,192,223,86.1,2605,801,123,134,91.8,56,62,90.3,4,11,36.4,0,0.4,-0.4,7,21,9,1,27,Matches
Marko Grujić\8b8e759d,rs SRB,MF,21,0.2,11,14,78.6,197,64,4,6,66.7,6,6,100,1,2,50,0,0,0,1,0,0,0,1,Matches
Divock Origi\43a166b4,be BEL,FW,22,0.1,1,2,50,17,0,0,0,,1,1,100,0,0,,0,0,0,0,0,0,0,0,Matches
Ben Woodburn\8aadeaef,wls WAL,MF,17,0.1,7,8,87.5,111,10,4,4,100,2,2,100,1,1,100,0,0,0,0,2,0,0,0,Matches
Squad Total,,,25.6,38,20261,24349,83.2,396384,123728,7660,8554,89.5,9440,10592,89.1,2824,4423,63.8,58,50.1,+7.9,472,1645,503,82,1910,
Opponent Total,,,27.1,38,11809,16050,73.6,238930,90366,4884,5678,86,4743,5799,81.8,1909,3871,49.3,23,19.6,+3.4,193,783,185,58,914,
