Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
Mohamed Salah\e342ad68,eg EGY,FW,25,32.3,154,4.77,97,12,24,9,10,2,32,0.99,16,1,12,1,2,0,Matches
Roberto Firmino\4c370d81,br BRA,FW,25,30.7,120,3.91,88,1,13,11,4,3,14,0.46,11,0,1,2,0,0,Matches
Sadio Mané\c691bfe2,sn SEN,FWMF,25,24.3,92,3.78,66,0,10,6,7,3,10,0.41,8,0,1,1,0,0,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,26,26.5,53,2,46,0,2,2,1,2,6,0.23,6,0,0,0,0,0,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,27,24.1,58,2.4,52,2,2,1,0,1,3,0.12,3,0,0,0,0,0,Matches
Dejan Lovren\1a2935f6,hr CRO,DF,28,23.6,15,0.63,12,0,0,3,0,0,2,0.08,1,0,0,1,0,0,Matches
Emre Can\a65ce836,de GER,MF,23,23.2,58,2.5,51,2,0,2,2,1,10,0.43,9,0,0,0,1,0,Matches
Joël Matip\b217ef29,cm CMR,DF,25,22.2,19,0.86,16,0,0,2,1,0,0,0,0,0,0,0,0,0,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,23,21.6,45,2.09,42,1,0,0,2,0,7,0.32,7,0,0,0,0,0,Matches
Joe Gomez\7a11550b,eng ENG,DF,20,21.1,26,1.23,20,4,1,0,1,0,2,0.09,2,0,0,0,0,0,Matches
Loris Karius\32e7ce92,de GER,GK,24,19,2,0.11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Simon Mignolet\d436eb94,be BEL,GK,29,19,2,0.11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,18,17.5,40,2.29,28,8,0,3,0,1,3,0.17,2,0,0,1,0,0,Matches
James Milner\2f90f6b8,eng ENG,MF,31,19.7,68,3.45,50,11,2,0,3,2,4,0.2,3,1,0,0,0,0,Matches
Ragnar Klavan\008a6e6d,ee EST,DF,31,16.1,15,0.93,15,0,0,0,0,0,2,0.12,2,0,0,0,0,0,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,23,16.6,70,4.22,53,6,5,1,2,3,13,0.78,9,0,1,1,0,2,Matches
Alberto Moreno\11b9265b,es ESP,DF,25,14.1,26,1.85,20,1,0,2,3,0,2,0.14,1,0,0,0,1,0,Matches
Virgil van Dijk\e06683ca,nl NED,DF,26,14,12,0.86,10,0,0,1,0,1,0,0,0,0,0,0,0,0,Matches
Philippe Coutinho\0ef89a37,br BRA,MFFW,25,12.3,78,6.33,48,13,7,3,4,3,13,1.06,5,2,2,0,2,2,Matches
Dominic Solanke\e77dc3b2,eng ENG,FW,19,6.6,25,3.78,18,0,3,3,1,0,2,0.3,2,0,0,0,0,0,Matches
Daniel Sturridge\1b7ec703,eng ENG,FW,27,4.8,17,3.55,12,0,3,1,1,0,1,0.21,1,0,0,0,0,0,Matches
Danny Ings\07802f7f,eng ENG,FWMF,25,3,6,2.02,4,0,1,1,0,0,1,0.34,0,0,0,1,0,0,Matches
Nathaniel Clyne\0442183b,eng ENG,DFFW,26,1.9,2,1.03,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Adam Lallana\99813635,eng ENG,MFFW,29,3.4,15,5.53,14,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
Marko Grujić\8b8e759d,rs SRB,MF,21,0.2,1,5.63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Divock Origi\43a166b4,be BEL,FW,22,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ben Woodburn\8aadeaef,wls WAL,MF,17,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,25.6,38,1019,26.82,767,63,73,51,43,22,127,3.34,88,4,17,8,6,4,
Opponent Total,,,27.1,38,416,10.95,291,43,24,16,34,8,56,1.47,35,3,5,7,5,1,
