Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
Mohamed Salah\e342ad68,eg EGY,FW,25,32.3,1544,4,95,500,1060,297,1446,77,120,64.2,88,3,1177,5852,3494,194,48,54,108,114,1843,1138,61.7,405,Matches
Roberto Firmino\4c370d81,br BRA,FW,25,30.7,1629,13,96,798,838,202,1574,59,90,65.6,60,4,1180,5484,2981,179,54,30,88,66,1866,1206,64.6,351,Matches
Sadio Mané\c691bfe2,sn SEN,FWMF,25,24.3,1333,12,98,625,752,149,1323,52,83,62.7,56,1,1036,6632,3533,196,69,39,72,52,1487,1079,72.6,272,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,26,26.5,1520,28,241,1015,376,54,1495,49,68,72.1,51,3,1187,6183,2804,114,38,4,37,38,1270,1099,86.5,90,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,27,24.1,2291,41,404,1637,374,19,2241,13,22,59.1,13,2,1524,6398,2929,131,39,1,10,14,1684,1622,96.3,25,Matches
Dejan Lovren\1a2935f6,hr CRO,DF,28,23.6,2063,150,985,1149,53,24,2019,2,2,100,2,0,1324,6728,3680,95,12,1,4,1,1465,1437,98.1,5,Matches
Emre Can\a65ce836,de GER,MF,23,23.2,1825,56,411,1221,359,37,1802,20,31,64.5,23,1,1244,7751,4530,181,59,7,19,19,1349,1269,94.1,49,Matches
Joël Matip\b217ef29,cm CMR,DF,25,22.2,1895,145,846,1099,66,25,1866,3,6,50,4,1,1227,6559,4353,148,19,0,5,6,1378,1354,98.3,6,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,23,21.6,1874,64,392,966,639,48,1694,6,18,33.3,8,1,1265,5755,3396,153,62,8,20,15,1368,1286,94,92,Matches
Joe Gomez\7a11550b,eng ENG,DF,20,21.1,1802,62,480,1100,335,10,1557,19,24,79.2,19,0,1154,5514,3256,114,33,4,13,12,1115,1084,97.2,33,Matches
Loris Karius\32e7ce92,de GER,GK,24,19,657,565,656,1,0,0,522,0,1,0,0,0,349,1232,600,0,0,0,0,0,336,334,99.4,0,Matches
Simon Mignolet\d436eb94,be BEL,GK,29,19,645,530,640,8,0,0,501,1,1,100,1,0,342,1587,778,0,0,0,0,2,307,305,99.3,0,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,18,17.5,1486,48,387,736,438,26,1269,17,37,45.9,18,4,889,3555,2025,106,36,5,17,12,983,912,92.8,46,Matches
James Milner\2f90f6b8,eng ENG,MF,31,19.7,1847,46,235,1111,593,55,1720,14,23,60.9,15,0,1299,5738,3059,159,38,12,21,23,1480,1351,91.3,109,Matches
Ragnar Klavan\008a6e6d,ee EST,DF,31,16.1,1356,118,666,748,43,7,1321,1,2,50,2,0,928,5542,3216,86,9,0,3,2,990,983,99.3,3,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,23,16.6,1014,12,108,557,454,52,965,29,49,59.2,34,1,709,4887,2981,146,57,16,39,24,833,689,82.7,102,Matches
Alberto Moreno\11b9265b,es ESP,DF,25,14.1,1111,38,308,583,285,26,964,7,10,70,7,0,679,2881,1622,65,29,3,8,5,735,685,93.2,33,Matches
Virgil van Dijk\e06683ca,nl NED,DF,26,14,1272,82,476,816,45,16,1251,1,2,50,1,0,815,4445,2512,94,5,0,2,1,906,889,98.1,8,Matches
Philippe Coutinho\0ef89a37,br BRA,MFFW,25,12.3,940,5,65,524,448,51,865,43,72,59.7,48,0,760,4790,2913,177,60,13,17,26,801,714,89.1,105,Matches
Dominic Solanke\e77dc3b2,eng ENG,FW,19,6.6,314,8,18,135,181,57,307,14,26,53.8,18,3,220,856,445,23,9,4,34,17,406,240,59.1,79,Matches
Daniel Sturridge\1b7ec703,eng ENG,FW,27,4.8,192,2,4,75,127,35,186,8,11,72.7,8,0,156,653,379,23,7,3,15,12,285,160,56.1,60,Matches
Danny Ings\07802f7f,eng ENG,FWMF,25,3,124,2,12,45,73,29,122,1,4,25,1,0,84,323,80,3,0,0,10,10,146,93,63.7,30,Matches
Nathaniel Clyne\0442183b,eng ENG,DFFW,26,1.9,162,4,28,77,61,4,133,0,1,0,0,0,89,317,133,7,2,0,3,4,105,91,86.7,11,Matches
Adam Lallana\99813635,eng ENG,MFFW,29,3.4,277,3,32,132,135,25,273,9,14,64.3,9,1,215,1080,525,28,11,4,6,9,254,220,86.6,43,Matches
Marko Grujić\8b8e759d,rs SRB,MF,21,0.2,18,0,3,13,4,1,18,0,0,,0,0,14,92,46,0,0,0,0,1,13,10,76.9,1,Matches
Divock Origi\43a166b4,be BEL,FW,22,0.1,4,0,0,4,0,0,3,0,0,,0,0,2,7,0,0,0,0,2,0,17,3,17.6,0,Matches
Ben Woodburn\8aadeaef,wls WAL,MF,17,0.1,8,0,0,4,4,1,8,0,0,,0,0,7,12,3,0,0,0,0,0,8,8,100,0,Matches
Squad Total,,,25.6,38,29203,2038,7686,15679,7743,1250,27445,445,717,62.1,486,25,19875,100853,56273,2422,696,208,553,485,23430,20261,86.5,1958,
Opponent Total,,,27.1,38,20907,2962,7889,9880,4220,535,19110,321,565,56.8,357,29,11827,57405,29176,1041,316,76,509,500,14806,11809,79.8,954,
