Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Mohamed Salah\e342ad68,eg EGY,FW,25,36,34,2907,32.3,32,10,31,1,2,1,0,0.99,0.31,1.3,0.96,1.27,24.4,22.9,9,31.9,0.76,0.28,1.03,0.71,0.99,Matches
Roberto Firmino\4c370d81,br BRA,FW,25,37,32,2763,30.7,15,7,14,1,1,1,0,0.49,0.23,0.72,0.46,0.68,12.1,11.4,5.4,16.7,0.4,0.18,0.57,0.37,0.55,Matches
Sadio Mané\c691bfe2,sn SEN,FWMF,25,29,28,2190,24.3,10,7,10,0,0,3,1,0.41,0.29,0.7,0.41,0.7,10.4,10.4,4.9,15.3,0.43,0.2,0.63,0.43,0.63,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,26,33,27,2387,26.5,1,2,1,0,0,1,0,0.04,0.08,0.11,0.04,0.11,2.5,2.5,1.5,4,0.1,0.06,0.15,0.1,0.15,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,27,27,25,2171,24.1,1,1,1,0,0,1,0,0.04,0.04,0.08,0.04,0.08,1,0.8,1.8,2.6,0.04,0.07,0.11,0.03,0.11,Matches
Dejan Lovren\1a2935f6,hr CRO,DF,28,29,24,2127,23.6,2,1,2,0,0,4,0,0.08,0.04,0.13,0.08,0.13,1.5,1.5,0.3,1.9,0.06,0.01,0.08,0.06,0.08,Matches
Emre Can\a65ce836,de GER,MF,23,26,24,2091,23.2,3,4,3,0,0,8,0,0.13,0.17,0.3,0.13,0.3,1.6,1.6,2.9,4.5,0.07,0.13,0.19,0.07,0.19,Matches
Joël Matip\b217ef29,cm CMR,DF,25,25,22,1997,22.2,1,0,1,0,0,3,0,0.05,0,0.05,0.05,0.05,1.7,1.7,0.5,2.1,0.08,0.02,0.1,0.08,0.1,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,23,22,22,1940,21.6,1,5,1,0,0,2,0,0.05,0.23,0.28,0.05,0.28,0.6,0.6,3.3,3.9,0.03,0.15,0.18,0.03,0.18,Matches
Joe Gomez\7a11550b,eng ENG,DF,20,23,21,1902,21.1,0,2,0,0,0,3,0,0,0.09,0.09,0,0.09,0.3,0.3,1,1.3,0.02,0.05,0.06,0.02,0.06,Matches
Loris Karius\32e7ce92,de GER,GK,24,19,19,1710,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Simon Mignolet\d436eb94,be BEL,GK,29,19,19,1710,19,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,18,19,18,1573,17.5,1,1,1,0,0,3,0,0.06,0.06,0.11,0.06,0.11,1.2,1.2,2.2,3.5,0.07,0.13,0.2,0.07,0.2,Matches
