Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
James Milner\2f90f6b8,eng ENG,MF,31,32,16,1775,19.7,0,3,0,0,0,3,0,0,0.15,0.15,0,0.15,1.1,1.1,3.5,4.6,0.06,0.18,0.23,0.06,0.23,Matches
Ragnar Klavan\008a6e6d,ee EST,DF,31,19,16,1451,16.1,1,0,1,0,0,0,0,0.06,0,0.06,0.06,0.06,0.7,0.7,0.1,0.8,0.04,0.01,0.05,0.04,0.05,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,23,32,14,1493,16.6,3,7,3,0,0,3,0,0.18,0.42,0.6,0.18,0.6,2.4,2.4,4.1,6.5,0.15,0.25,0.39,0.15,0.39,Matches
Alberto Moreno\11b9265b,es ESP,DF,25,16,14,1266,14.1,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.8,1.3,0.03,0.06,0.09,0.03,0.09,Matches
Virgil van Dijk\e06683ca,nl NED,DF,26,14,14,1260,14,0,0,0,0,0,1,0,0,0,0,0,0,1.1,1.1,0.8,1.9,0.08,0.05,0.14,0.08,0.14,Matches
Philippe Coutinho\0ef89a37,br BRA,MFFW,25,14,13,1109,12.3,7,6,7,0,0,0,0,0.57,0.49,1.06,0.57,1.06,2.6,2.6,4.2,6.9,0.21,0.34,0.56,0.21,0.56,Matches
Dominic Solanke\e77dc3b2,eng ENG,FW,19,21,5,596,6.6,1,1,1,0,0,0,0,0.15,0.15,0.3,0.15,0.3,2.9,2.9,2.1,5,0.44,0.32,0.76,0.44,0.76,Matches
Daniel Sturridge\1b7ec703,eng ENG,FW,27,9,5,431,4.8,2,1,2,0,0,0,0,0.42,0.21,0.63,0.42,0.63,2.6,2.6,0.9,3.5,0.54,0.19,0.74,0.54,0.74,Matches
Danny Ings\07802f7f,eng ENG,FWMF,25,8,3,267,3,1,0,1,0,0,0,0,0.34,0,0.34,0.34,0.34,1.5,1.5,0.2,1.6,0.49,0.06,0.54,0.49,0.54,Matches
Nathaniel Clyne\0442183b,eng ENG,DFFW,26,3,2,174,1.9,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.04,0.07,0.11,0.04,0.11,Matches
Adam Lallana\99813635,eng ENG,MFFW,29,12,1,308,3.4,0,0,0,0,0,1,0,0,0,0,0,0,1.4,1.4,0.4,1.8,0.51,0.14,0.65,0.51,0.65,Matches
Marko Grujić\8b8e759d,rs SRB,MF,21,3,0,16,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.11,0,0.11,Matches
Divock Origi\43a166b4,be BEL,FW,22,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Ben Woodburn\8aadeaef,wls WAL,MF,17,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rafael Camacho\91b43c98,pt POR,FWMF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jon Flanagan\f2428fd4,eng ENG,DF,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Curtis Jones\4fb9c88f,eng ENG,MF,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Conor Masterson\db975607,ie IRL,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Danny Ward\d3ce0e89,wls WAL,GK,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,25.6,38,418,3420,38,82,58,80,2,3,,,2.16,1.53,3.68,2.11,3.63,72.8,70.5,50.1,120.6,1.92,1.32,3.23,1.86,3.17,
Opponent Total,,,27.1,38,418,3420,38,38,23,34,4,6,50,0,1,0.61,1.61,0.89,1.5,34,29.5,19.6,49,0.9,0.51,1.41,0.78,1.29,
