Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Mohamed Salah\e342ad68,eg EGY,FW,25,32.3,32,142,65,45.8,4.4,2.01,0.22,0.48,15,4,1,2,24.4,22.9,0.16,+7.6,+8.1,Matches
Roberto Firmino\4c370d81,br BRA,FW,25,30.7,15,84,37,44,2.74,1.21,0.17,0.38,16.5,0,1,1,12.1,11.4,0.14,+2.9,+2.6,Matches
Sadio Mané\c691bfe2,sn SEN,FWMF,25,24.3,10,70,26,37.1,2.88,1.07,0.14,0.38,14.7,0,0,0,10.4,10.4,0.15,-0.4,-0.4,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,26,26.5,1,38,8,21.1,1.43,0.3,0.03,0.13,18.3,1,0,0,2.5,2.5,0.07,-1.5,-1.5,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,27,24.1,1,15,3,20,0.62,0.12,0.07,0.33,22.5,1,0,0,1,0.8,0.05,0,+0.2,Matches
Dejan Lovren\1a2935f6,hr CRO,DF,28,23.6,2,14,4,28.6,0.59,0.17,0.14,0.5,8.2,0,0,0,1.5,1.5,0.11,+0.5,+0.5,Matches
Emre Can\a65ce836,de GER,MF,23,23.2,3,27,8,29.6,1.16,0.34,0.11,0.38,20.1,1,0,0,1.6,1.6,0.06,+1.4,+1.4,Matches
Joël Matip\b217ef29,cm CMR,DF,25,22.2,1,12,2,16.7,0.54,0.09,0.08,0.5,10.2,0,0,0,1.7,1.7,0.14,-0.7,-0.7,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,23,21.6,1,11,2,18.2,0.51,0.09,0.09,0.5,19.8,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches
Joe Gomez\7a11550b,eng ENG,DF,20,21.1,0,5,0,0,0.24,0,0,,21.9,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Loris Karius\32e7ce92,de GER,GK,24,19,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
Simon Mignolet\d436eb94,be BEL,GK,29,19,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,18,17.5,1,13,6,46.2,0.74,0.34,0.08,0.17,21.9,1,0,0,1.2,1.2,0.1,-0.2,-0.2,Matches
James Milner\2f90f6b8,eng ENG,MF,31,19.7,0,23,6,26.1,1.17,0.3,0,0,19,1,0,0,1.1,1.1,0.05,-1.1,-1.1,Matches
Ragnar Klavan\008a6e6d,ee EST,DF,31,16.1,1,2,1,50,0.12,0.06,0.5,1,4.9,0,0,0,0.7,0.7,0.34,+0.3,+0.3,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,23,16.6,3,39,15,38.5,2.35,0.9,0.08,0.2,20.5,0,0,0,2.4,2.4,0.06,+0.6,+0.6,Matches
Alberto Moreno\11b9265b,es ESP,DF,25,14.1,0,12,2,16.7,0.85,0.14,0,0,22.3,1,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
Virgil van Dijk\e06683ca,nl NED,DF,26,14,0,16,6,37.5,1.14,0.43,0,0,14.7,1,0,0,1.1,1.1,0.07,-1.1,-1.1,Matches
Philippe Coutinho\0ef89a37,br BRA,MFFW,25,12.3,7,53,17,32.1,4.3,1.38,0.13,0.41,22.9,10,0,0,2.6,2.6,0.05,+4.4,+4.4,Matches
Dominic Solanke\e77dc3b2,eng ENG,FW,19,6.6,1,23,7,30.4,3.47,1.06,0.04,0.14,13.3,0,0,0,2.9,2.9,0.13,-1.9,-1.9,Matches
Daniel Sturridge\1b7ec703,eng ENG,FW,27,4.8,2,22,7,31.8,4.59,1.46,0.09,0.29,17.1,1,0,0,2.6,2.6,0.12,-0.6,-0.6,Matches
Danny Ings\07802f7f,eng ENG,FWMF,25,3,1,8,5,62.5,2.7,1.69,0.13,0.2,11.3,0,0,0,1.5,1.5,0.18,-0.5,-0.5,Matches
Nathaniel Clyne\0442183b,eng ENG,DFFW,26,1.9,0,1,1,100,0.52,0.52,0,0,10.4,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
Adam Lallana\99813635,eng ENG,MFFW,29,3.4,0,12,0,0,3.51,0,0,,18.5,0,0,0,1.4,1.4,0.11,-1.4,-1.4,Matches
Marko Grujić\8b8e759d,rs SRB,MF,21,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
Divock Origi\43a166b4,be BEL,FW,22,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
Ben Woodburn\8aadeaef,wls WAL,MF,17,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
Squad Total,,,25.6,38,82,642,228,35.5,16.89,6,0.12,0.35,17.1,22,2,3,72.8,70.5,0.11,+9.2,+9.5,
Opponent Total,,,27.1,38,38,273,96,35.2,7.18,2.53,0.12,0.35,17,10,4,6,34,29.5,0.11,+4.0,+4.5,
