Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
Mohamed Salah\e342ad68,eg EGY,FW,25,32.3,15,13,3,5,7,5,18,27.8,13,429,129,30.1,60,167,202,17,0,0,17,13,28,3,0,Matches
Roberto Firmino\4c370d81,br BRA,FW,25,30.7,62,48,12,35,15,10,46,21.7,36,730,230,31.5,48,373,309,41,2,1,39,25,87,10,0,Matches
Sadio Mané\c691bfe2,sn SEN,FWMF,25,24.3,33,25,9,15,9,9,27,33.3,18,334,111,33.2,65,136,133,14,1,0,13,19,52,6,0,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,26,26.5,38,30,16,18,4,11,24,45.8,13,385,129,33.5,121,192,72,22,2,0,20,42,80,28,0,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,27,24.1,48,32,15,26,7,12,49,24.5,37,457,146,31.9,122,275,60,44,1,0,43,38,86,55,0,Matches
Dejan Lovren\1a2935f6,hr CRO,DF,28,23.6,32,17,17,12,3,14,26,53.8,12,162,70,43.2,98,57,7,32,15,0,17,52,84,215,3,Matches
Emre Can\a65ce836,de GER,MF,23,23.2,73,49,32,31,10,12,40,30,28,443,145,32.7,129,252,62,48,4,0,44,36,109,58,1,Matches
Joël Matip\b217ef29,cm CMR,DF,25,22.2,41,26,29,12,0,10,20,50,10,206,82,39.8,106,87,13,38,15,1,23,37,78,151,2,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,23,21.6,48,24,30,13,5,24,43,55.8,19,313,107,34.2,131,110,72,26,4,0,22,24,72,68,0,Matches
Joe Gomez\7a11550b,eng ENG,DF,20,21.1,57,28,33,20,4,15,35,42.9,20,297,97,32.7,147,133,17,30,9,0,21,48,105,74,1,Matches
Loris Karius\32e7ce92,de GER,GK,24,19,0,0,0,0,0,0,0,,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,Matches
Simon Mignolet\d436eb94,be BEL,GK,29,19,0,0,0,0,0,0,2,0,2,5,0,0,5,0,0,0,0,0,0,1,1,1,3,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,18,17.5,39,22,26,8,5,21,44,47.7,23,237,84,35.4,101,90,46,30,6,0,24,53,92,42,0,Matches
James Milner\2f90f6b8,eng ENG,MF,31,19.7,64,35,19,31,14,25,65,38.5,40,399,134,33.6,88,221,90,28,7,0,21,24,88,31,0,Matches
Ragnar Klavan\008a6e6d,ee EST,DF,31,16.1,24,15,10,13,1,8,18,44.4,10,134,64,47.8,65,62,7,16,6,0,10,20,44,87,0,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,23,16.6,36,23,12,19,5,8,31,25.8,23,336,96,28.6,67,192,77,35,0,0,35,20,56,15,0,Matches
Alberto Moreno\11b9265b,es ESP,DF,25,14.1,39,25,20,16,3,10,29,34.5,19,214,76,35.5,107,87,20,22,2,0,20,25,64,43,0,Matches
Virgil van Dijk\e06683ca,nl NED,DF,26,14,16,10,6,8,2,4,7,57.1,3,79,26,32.9,43,31,5,11,1,0,10,22,38,139,0,Matches
Philippe Coutinho\0ef89a37,br BRA,MFFW,25,12.3,19,12,5,11,3,6,24,25,18,175,48,27.4,31,104,40,14,0,0,14,16,35,2,0,Matches
Dominic Solanke\e77dc3b2,eng ENG,FW,19,6.6,9,4,0,6,3,0,4,0,4,167,55,32.9,13,70,84,7,2,0,5,1,10,7,0,Matches
Daniel Sturridge\1b7ec703,eng ENG,FW,27,4.8,1,1,0,0,1,0,3,0,3,44,10,22.7,2,15,27,2,1,0,1,0,1,1,0,Matches
Danny Ings\07802f7f,eng ENG,FWMF,25,3,4,3,1,0,3,1,1,100,0,52,15,28.8,7,26,19,6,1,0,5,1,5,0,0,Matches
Nathaniel Clyne\0442183b,eng ENG,DFFW,26,1.9,2,1,1,1,0,0,1,0,1,19,8,42.1,8,6,5,3,1,0,2,2,4,5,0,Matches
Adam Lallana\99813635,eng ENG,MFFW,29,3.4,4,3,3,0,1,1,6,16.7,5,56,17,30.4,16,22,18,6,0,0,6,5,9,3,0,Matches
Marko Grujić\8b8e759d,rs SRB,MF,21,0.2,2,2,0,1,1,1,1,100,0,11,4,36.4,1,6,4,1,1,0,0,0,2,0,0,Matches
Divock Origi\43a166b4,be BEL,FW,22,0.1,0,0,0,0,0,0,0,,0,2,1,50,0,2,0,0,0,0,0,0,0,0,0,Matches
Ben Woodburn\8aadeaef,wls WAL,MF,17,0.1,0,0,0,0,0,0,0,,0,4,1,25,0,2,2,0,0,0,0,0,0,0,0,Matches
Squad Total,,,25.6,38,706,448,299,301,106,207,564,36.7,357,5692,1885,33.1,1583,2718,1391,493,81,2,412,524,1230,1046,10,
Opponent Total,,,27.1,38,712,453,401,269,42,228,714,31.9,486,6256,1770,28.3,2572,2713,971,619,185,2,434,648,1360,1161,20,
