Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Alisson\7a2e46a8,br BRA,GK,25,38,3420,90,100,38,38,90,38,0,,0,2.55,89,22,+67,+1.76,,75.5,31,+44.5,+1.17,,Matches
Virgil van Dijk\e06683ca,nl NED,DF,27,38,3384,89,98.9,37.6,38,89,37,0,,0,2.55,89,22,+67,+1.78,+1.78,75.1,30.9,+44.1,+1.17,+0.39,Matches
Mohamed Salah\e342ad68,eg EGY,FW,26,38,3250,86,95,36.1,37,87,24,1,25,0,2.55,82,20,+62,+1.72,-0.93,71.5,28.8,+42.7,+1.18,+0.25,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,24,36,3216,89,94,35.7,36,89,33,0,,1,2.53,81,20,+61,+1.71,-0.94,70.2,29.1,+41.2,+1.15,-0.3,Matches
Sadio Mané\c691bfe2,sn SEN,FW,26,36,3077,85,90,34.2,35,87,25,1,25,0,2.53,79,21,+58,+1.70,-0.67,67.9,27.4,+40.4,+1.18,+0.13,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,27,35,2725,78,79.7,30.3,32,83,19,3,28,0,2.57,69,16,+53,+1.75,-0.06,59.1,25,+34.1,+1.13,-0.22,Matches
Roberto Firmino\4c370d81,br BRA,FWMF,26,34,2607,77,76.2,29,31,82,15,3,21,0,2.5,64,15,+49,+1.69,-0.3,59.1,22.3,+36.8,+1.27,+0.42,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,19,29,2462,85,72,27.4,27,88,20,2,40,4,2.69,67,14,+53,+1.94,+0.62,60.3,23.6,+36.7,+1.34,+0.61,Matches
Fabinho\7f3b388c,br BRA,MF,24,28,2017,72,59,22.4,21,90,19,7,18,6,2.54,56,14,+42,+1.87,+0.27,45.9,17.3,+28.6,+1.28,+0.26,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,28,32,1987,62,58.1,22.1,21,84,14,11,20,1,2.59,47,14,+33,+1.49,-0.64,38.7,18.1,+20.6,+0.93,-0.56,Matches
James Milner\2f90f6b8,eng ENG,MFDF,32,31,1789,58,52.3,19.9,19,81,11,12,20,2,2.52,42,12,+30,+1.51,-0.53,37.4,16.7,+20.7,+1.04,-0.27,Matches
Joël Matip\b217ef29,cm CMR,DF,26,22,1537,70,44.9,17.1,17,90,17,5,0,9,2.55,41,12,+29,+1.70,-0.12,31.9,13.1,+18.8,+1.10,-0.13,Matches
Naby Keïta\f25c8e3a,gn GUI,MFFW,23,25,1390,56,40.6,15.4,16,78,5,9,17,7,2.68,36,8,+28,+1.81,+0.08,32.8,11.2,+21.6,+1.40,+0.38,Matches
Joe Gomez\7a11550b,eng ENG,DF,21,16,1063,66,31.1,11.8,12,85,11,4,12,2,2.63,17,4,+13,+1.10,-0.96,22.9,11.4,+11.5,+0.97,-0.29,Matches
Xherdan Shaqiri\6421ec64,ch SUI,FWMF,26,24,1064,44,31.1,11.8,11,77,4,13,17,13,2.46,34,6,+28,+2.37,+0.88,24.8,10.5,+14.3,+1.21,+0.06,Matches
Dejan Lovren\1a2935f6,hr CRO,DF,29,13,986,76,28.8,11,11,89,10,2,1,6,2.62,30,7,+23,+2.10,+0.47,20.6,8.5,+12.1,+1.10,-0.1,Matches
Adam Lallana\99813635,eng ENG,MFFW,30,13,468,36,13.7,5.2,5,70,0,8,15,11,2.54,14,3,+11,+2.12,+0.41,10.3,2.5,+7.8,+1.49,+0.38,Matches
Daniel Sturridge\1b7ec703,eng ENG,FWMF,28,18,509,28,14.9,5.7,4,89,3,14,11,17,2.39,17,5,+12,+2.12,+0.42,10.6,6.6,+4.0,+0.71,-0.54,Matches
Divock Origi\43a166b4,be BEL,FW,23,12,371,31,10.8,4.1,4,72,1,8,10,13,2.5,11,2,+9,+2.18,+0.47,7.5,3.9,+3.7,+0.89,-0.31,Matches
Alberto Moreno\11b9265b,es ESP,DF,26,2,154,77,4.5,1.7,2,77,1,0,,16,3,5,2,+3,+1.75,-0.01,2.7,1.6,+1.1,+0.65,-0.55,Matches
Nathaniel Clyne\0442183b,eng ENG,DF,27,4,111,28,3.2,1.2,1,93,1,3,6,2,3,4,1,+3,+2.43,+0.69,3.4,0.8,+2.6,+2.12,+0.98,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,24,2,21,11,0.6,0.2,0,,0,2,10,1,3,1,0,+1,+4.29,+2.54,1.3,0,+1.3,+5.77,+4.63,Matches
Rafael Camacho\91b43c98,pt POR,DF,18,1,1,1,0,0,0,,0,1,0,7,3,0,1,-1,-90,-91.79,0,0.2,-0.2,-18.53,-19.71,Matches
Curtis Jones\4fb9c88f,eng ENG,MF,17,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Loris Karius\32e7ce92,de GER,GK,25,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Simon Mignolet\d436eb94,be BEL,GK,30,0,,,,,0,,0,0,,37,,,,,,,,,,,,Matches
Squad Total,,,26.1,38,3420,90,100,38,418,86,,109,15,157,2.55,89,22,+67,+1.76,,75.5,31,+44.5,+1.17,,
Opponent Total,,,26.9,38,3420,90,100,38,418,85,,109,18,157,2.55,22,89,-67,-1.76,,31,75.5,-44.5,-1.17,,
