Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Alisson\7a2e46a8,br BRA,GK,25,38,38,3420,38,22,0.58,98,76,77.6,30,7,1,21,55.3,1,0,0,1,,Matches
Squad Total,,,26.1,38,38,3420,38,22,0.58,98,76,77.6,30,7,1,21,55.3,1,0,0,1,,
Opponent Total,,,26.9,38,38,3420,38,89,2.34,216,134,62,1,7,30,3,7.9,7,7,0,0,0,
