Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
Alisson\7a2e46a8,br BRA,GK,25,38,4,0.11,1,3,0,0,0,0,2,0.05,0,2,0,0,0,0,Matches
Virgil van Dijk\e06683ca,nl NED,DF,27,37.6,30,0.8,25,0,1,3,0,1,7,0.19,5,0,0,2,0,0,Matches
Mohamed Salah\e342ad68,eg EGY,FW,26,36.1,146,4.04,93,4,24,11,14,0,17,0.47,6,1,2,3,5,0,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,24,35.7,82,2.29,77,2,3,0,0,0,18,0.5,17,0,1,0,0,0,Matches
Sadio Mané\c691bfe2,sn SEN,FW,26,34.2,109,3.19,77,0,14,7,10,1,12,0.35,7,0,3,1,1,0,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,27,30.3,51,1.68,37,2,3,3,3,3,5,0.17,3,0,0,1,0,1,Matches
Roberto Firmino\4c370d81,br BRA,FWMF,26,29,106,3.66,82,0,9,8,3,4,17,0.59,12,0,3,1,1,0,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,19,27.4,83,3.03,52,24,5,1,1,0,17,0.62,13,4,0,0,0,0,Matches
Fabinho\7f3b388c,br BRA,MF,24,22.4,39,1.74,31,0,2,1,3,2,5,0.22,4,0,0,0,1,0,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,28,22.1,35,1.59,32,1,0,1,0,1,6,0.27,6,0,0,0,0,0,Matches
James Milner\2f90f6b8,eng ENG,MFDF,32,19.9,78,3.92,42,26,4,4,2,0,7,0.35,6,1,0,0,0,0,Matches
Joël Matip\b217ef29,cm CMR,DF,26,17.1,9,0.53,6,0,1,0,1,1,1,0.06,0,0,0,0,0,1,Matches
Naby Keïta\f25c8e3a,gn GUI,MFFW,23,15.4,35,2.27,28,0,1,4,1,1,5,0.32,4,0,0,0,0,1,Matches
Joe Gomez\7a11550b,eng ENG,DF,21,11.8,9,0.76,9,0,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches
Xherdan Shaqiri\6421ec64,ch SUI,FWMF,26,11.8,35,2.96,25,6,1,1,2,0,9,0.76,6,1,1,1,0,0,Matches
Dejan Lovren\1a2935f6,hr CRO,DF,29,11,5,0.46,4,0,0,0,1,0,1,0.09,0,0,0,0,1,0,Matches
Adam Lallana\99813635,eng ENG,MFFW,30,5.2,20,3.85,15,3,1,0,1,0,2,0.38,1,0,0,0,1,0,Matches
Daniel Sturridge\1b7ec703,eng ENG,FWMF,28,5.7,16,2.83,15,0,1,0,0,0,3,0.53,3,0,0,0,0,0,Matches
Divock Origi\43a166b4,be BEL,FW,23,4.1,8,1.94,7,0,0,1,0,0,1,0.24,1,0,0,0,0,0,Matches
Alberto Moreno\11b9265b,es ESP,DF,26,1.7,6,3.51,5,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
Nathaniel Clyne\0442183b,eng ENG,DF,27,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,24,0.2,3,12.86,2,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
Rafael Camacho\91b43c98,pt POR,DF,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.1,38,909,23.92,665,71,72,45,42,14,136,3.58,95,9,10,9,10,3,
Opponent Total,,,26.9,38,454,11.95,338,37,32,15,22,10,31,0.82,24,2,0,4,1,0,
