Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Alisson\7a2e46a8,br BRA,GK,25,38,1049,1273,82.4,30716,16792,116,119,97.5,555,561,98.9,376,589,63.8,0,0,0,0,9,1,0,0,Matches
Virgil van Dijk\e06683ca,nl NED,DF,27,37.6,2734,3017,90.6,62862,17718,665,715,93,1457,1545,94.3,597,728,82,2,1.2,+0.8,7,184,6,0,138,Matches
Mohamed Salah\e342ad68,eg EGY,FW,26,36.1,858,1149,74.7,12742,3728,502,618,81.2,266,346,76.9,55,108,50.9,8,9.1,-1.1,69,54,79,5,143,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,24,35.7,2289,2799,81.8,41069,15041,1018,1117,91.1,1026,1200,85.5,225,414,54.3,11,7.3,+3.7,53,157,67,19,242,Matches
Sadio Mané\c691bfe2,sn SEN,FW,26,34.2,956,1237,77.3,15790,3331,503,589,85.4,343,429,80,86,140,61.4,1,4.4,-3.4,44,78,50,6,108,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,27,30.3,1611,1769,91.1,28793,6176,704,745,94.5,704,754,93.4,176,217,81.1,0,1.4,-1.4,23,176,18,2,117,Matches
Roberto Firmino\4c370d81,br BRA,FWMF,26,29,1048,1298,80.7,15924,4497,599,715,83.8,348,414,84.1,66,90,73.3,6,6,0,43,91,53,1,149,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,19,27.4,1649,2201,74.9,34760,13523,613,696,88.1,734,902,81.4,289,547,52.8,12,6.5,+5.5,46,122,56,25,195,Matches
Fabinho\7f3b388c,br BRA,MF,24,22.4,1404,1632,86,27436,6386,532,586,90.8,663,735,90.2,198,279,71,2,1.3,+0.7,14,159,22,2,128,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,28,22.1,1546,1791,86.3,32118,6880,531,593,89.5,695,772,90,296,382,77.5,3,1.5,+1.5,14,179,25,6,136,Matches
James Milner\2f90f6b8,eng ENG,MFDF,32,19.9,1315,1632,80.6,25678,8929,555,618,89.8,535,618,86.6,203,325,62.5,4,5.4,-1.4,47,135,42,8,144,Matches
Joël Matip\b217ef29,cm CMR,DF,26,17.1,1159,1322,87.7,25235,7499,286,314,91.1,669,711,94.1,196,280,70,0,0.1,-0.1,2,88,5,0,59,Matches
Naby Keïta\f25c8e3a,gn GUI,MFFW,23,15.4,900,1015,88.7,14661,3592,473,519,91.1,328,368,89.1,78,95,82.1,1,0.8,+0.2,9,98,29,0,100,Matches
Joe Gomez\7a11550b,eng ENG,DF,21,11.8,716,830,86.3,15344,4818,181,199,91,408,447,91.3,121,170,71.2,0,0.3,-0.3,6,32,2,1,33,Matches
Xherdan Shaqiri\6421ec64,ch SUI,FWMF,26,11.8,552,701,78.7,10036,2653,252,283,89,217,257,84.4,70,129,54.3,3,2.2,+0.8,20,53,34,7,66,Matches
Dejan Lovren\1a2935f6,hr CRO,DF,29,11,707,805,87.8,15167,4813,184,194,94.8,405,434,93.3,114,168,67.9,0,0.1,-0.1,1,29,3,2,24,Matches
Adam Lallana\99813635,eng ENG,MFFW,30,5.2,256,308,83.1,3485,901,164,189,86.8,69,81,85.2,10,18,55.6,0,0.6,-0.6,9,15,8,0,30,Matches
Daniel Sturridge\1b7ec703,eng ENG,FWMF,28,5.7,157,195,80.5,2656,797,84,94,89.4,52,69,75.4,17,22,77.3,1,1.2,-0.2,8,13,11,1,29,Matches
Divock Origi\43a166b4,be BEL,FW,23,4.1,77,114,67.5,1303,347,44,58,75.9,21,31,67.7,9,15,60,1,0.2,+0.8,3,5,4,2,6,Matches
Alberto Moreno\11b9265b,es ESP,DF,26,1.7,106,121,87.6,1990,672,43,44,97.7,49,56,87.5,13,18,72.2,0,0.3,-0.3,3,8,4,1,10,Matches
Nathaniel Clyne\0442183b,eng ENG,DF,27,1.2,70,88,79.5,1057,417,38,44,86.4,24,29,82.8,5,11,45.5,0,0,0,0,4,1,0,3,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,24,0.2,12,14,85.7,213,105,5,6,83.3,7,7,100,0,0,,0,0,0,1,3,0,0,6,Matches
Rafael Camacho\91b43c98,pt POR,DF,18,0,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.1,38,21171,25311,83.6,419035,129615,8092,9055,89.4,9575,10766,88.9,3200,4745,67.4,55,49.8,+5.2,422,1692,520,88,1866,
Opponent Total,,,26.9,38,11650,15736,74,231069,86448,4912,5717,85.9,4624,5683,81.4,1856,3669,50.6,16,21.1,-5.1,214,786,225,64,878,
