Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Alisson\7a2e46a8,br BRA,GK,25,38,38,3420,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Virgil van Dijk\e06683ca,nl NED,DF,27,38,38,3384,37.6,4,2,4,0,0,1,0,0.11,0.05,0.16,0.11,0.16,3.1,3.1,1.2,4.3,0.08,0.03,0.11,0.08,0.11,Matches
Mohamed Salah\e342ad68,eg EGY,FW,26,38,37,3250,36.1,22,8,19,3,3,1,0,0.61,0.22,0.83,0.53,0.75,18.8,16.5,9.1,25.6,0.52,0.25,0.77,0.46,0.71,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,24,36,36,3216,35.7,0,11,0,0,0,4,0,0,0.31,0.31,0,0.31,0.9,0.9,7.3,8.3,0.03,0.21,0.23,0.03,0.23,Matches
Sadio Mané\c691bfe2,sn SEN,FW,26,36,35,3077,34.2,22,1,22,0,0,2,0,0.64,0.03,0.67,0.64,0.67,17.3,17.3,4.4,21.7,0.51,0.13,0.63,0.51,0.63,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,27,35,32,2725,30.3,3,0,3,0,0,3,0,0.1,0,0.1,0.1,0.1,2.9,2.9,1.4,4.2,0.09,0.05,0.14,0.09,0.14,Matches
Roberto Firmino\4c370d81,br BRA,FWMF,26,34,31,2607,29,12,6,11,1,1,0,0,0.41,0.21,0.62,0.38,0.59,13.3,12.5,6,18.5,0.46,0.21,0.66,0.43,0.64,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,19,29,27,2462,27.4,1,12,1,0,0,3,0,0.04,0.44,0.48,0.04,0.48,1.4,1.4,6.5,7.9,0.05,0.24,0.29,0.05,0.29,Matches
Fabinho\7f3b388c,br BRA,MF,24,28,21,2017,22.4,1,2,1,0,0,6,0,0.04,0.09,0.13,0.04,0.13,0.8,0.8,1.3,2.1,0.04,0.06,0.09,0.04,0.09,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,28,32,21,1987,22.1,1,3,1,0,0,2,1,0.05,0.14,0.18,0.05,0.18,1.6,1.6,1.5,3.1,0.07,0.07,0.14,0.07,0.14,Matches
James Milner\2f90f6b8,eng ENG,MFDF,32,31,19,1789,19.9,5,4,2,3,3,6,1,0.25,0.2,0.45,0.1,0.3,4,1.7,5.4,7.2,0.2,0.27,0.48,0.09,0.36,Matches
Joël Matip\b217ef29,cm CMR,DF,26,22,17,1537,17.1,1,0,1,0,0,3,0,0.06,0,0.06,0.06,0.06,0.6,0.6,0.1,0.7,0.04,0,0.04,0.04,0.04,Matches
Naby Keïta\f25c8e3a,gn GUI,MFFW,23,25,16,1390,15.4,2,1,2,0,0,0,0,0.13,0.06,0.19,0.13,0.19,2.5,2.5,0.8,3.3,0.16,0.05,0.21,0.16,0.21,Matches
Joe Gomez\7a11550b,eng ENG,DF,21,16,12,1063,11.8,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0.3,0.5,0.02,0.02,0.04,0.02,0.04,Matches
Xherdan Shaqiri\6421ec64,ch SUI,FWMF,26,24,11,1064,11.8,6,3,6,0,0,2,0,0.51,0.25,0.76,0.51,0.76,3.7,3.7,2.2,5.9,0.32,0.19,0.5,0.32,0.5,Matches
Dejan Lovren\1a2935f6,hr CRO,DF,29,13,11,986,11,1,0,1,0,0,1,0,0.09,0,0.09,0.09,0.09,0.7,0.7,0.1,0.9,0.07,0.01,0.08,0.07,0.08,Matches
Adam Lallana\99813635,eng ENG,MFFW,30,13,5,468,5.2,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.6,1.1,0.1,0.11,0.2,0.1,0.2,Matches
Daniel Sturridge\1b7ec703,eng ENG,FWMF,28,18,4,509,5.7,2,1,2,0,0,1,0,0.35,0.18,0.53,0.35,0.53,1.3,1.3,1.2,2.5,0.22,0.22,0.44,0.22,0.44,Matches
Divock Origi\43a166b4,be BEL,FW,23,12,4,371,4.1,3,1,3,0,0,0,0,0.73,0.24,0.97,0.73,0.97,2.3,2.3,0.2,2.4,0.55,0.04,0.59,0.55,0.59,Matches
Alberto Moreno\11b9265b,es ESP,DF,26,2,2,154,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.01,0.17,0.18,0.01,0.18,Matches
Nathaniel Clyne\0442183b,eng ENG,DF,27,4,1,111,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.04,0,0.04,0.04,0.04,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,24,2,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,1.29,0.1,1.38,1.29,1.38,Matches
Rafael Camacho\91b43c98,pt POR,DF,18,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Curtis Jones\4fb9c88f,eng ENG,MF,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Loris Karius\32e7ce92,de GER,GK,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Simon Mignolet\d436eb94,be BEL,GK,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,26.1,38,418,3420,38,86,55,79,7,7,39,2,2.26,1.45,3.71,2.08,3.53,75.5,70.2,49.8,120,1.99,1.31,3.3,1.85,3.16,
Opponent Total,,,26.9,38,418,3420,38,22,16,22,0,1,48,1,0.58,0.42,1,0.58,1,31,30.2,21.1,51.4,0.82,0.56,1.37,0.8,1.35,
