Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
Alisson\7a2e46a8,br BRA,GK,25,38,1273,974,299,83,0,122,66,0,0,0,0,0,821,74,378,91,941,2,0,199,1049,2,33,11,2,Matches
Virgil van Dijk\e06683ca,nl NED,DF,27,37.6,3017,2953,64,58,1,269,131,8,0,0,0,0,2370,199,448,343,2363,193,6,9,2734,6,40,25,12,Matches
Mohamed Salah\e342ad68,eg EGY,FW,26,36.1,1149,1065,84,12,12,229,21,41,35,14,11,0,844,147,158,914,178,29,13,6,858,2,14,54,49,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,24,35.7,2799,2460,339,34,2,230,61,113,5,0,3,0,1820,463,516,2246,147,91,300,0,2289,4,43,71,60,Matches
Sadio Mané\c691bfe2,sn SEN,FW,26,34.2,1237,1216,21,4,8,242,32,48,2,0,0,0,898,175,164,298,835,48,15,19,956,5,18,57,53,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,27,30.3,1769,1731,38,23,0,223,44,7,7,0,6,0,1424,165,180,224,1443,58,6,9,1611,2,14,25,22,Matches
Roberto Firmino\4c370d81,br BRA,FWMF,26,29,1298,1271,27,1,9,286,10,21,1,0,0,0,1006,182,110,159,1051,46,13,11,1048,6,13,56,39,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,19,27.4,2201,1753,448,46,4,241,117,110,74,27,34,3,1131,390,680,180,1651,39,328,0,1649,12,66,73,67,Matches
Fabinho\7f3b388c,br BRA,MF,24,22.4,1632,1587,45,39,2,227,53,11,0,0,0,0,1184,166,282,81,1440,61,4,4,1404,5,20,31,22,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,28,22.1,1791,1718,73,35,1,207,57,32,0,0,0,0,1298,216,277,217,1462,58,32,3,1546,4,21,32,31,Matches
James Milner\2f90f6b8,eng ENG,MFDF,32,19.9,1632,1392,240,46,4,183,75,59,90,24,32,6,1093,240,299,130,1355,32,95,3,1315,7,28,38,60,Matches
Joël Matip\b217ef29,cm CMR,DF,26,17.1,1322,1293,29,21,1,116,27,0,0,0,0,0,1046,107,169,165,1044,63,8,3,1159,4,15,23,14,Matches
Naby Keïta\f25c8e3a,gn GUI,MFFW,23,15.4,1015,1006,9,6,1,133,8,7,2,0,0,0,894,69,52,131,860,14,1,4,900,1,7,28,13,Matches
Joe Gomez\7a11550b,eng ENG,DF,21,11.8,830,770,60,17,0,87,21,9,0,0,0,0,634,84,112,61,673,26,43,1,716,4,10,20,10,Matches
Xherdan Shaqiri\6421ec64,ch SUI,FWMF,26,11.8,701,649,52,13,6,109,28,27,26,10,11,1,460,95,146,536,119,26,12,2,552,3,15,32,21,Matches
Dejan Lovren\1a2935f6,hr CRO,DF,29,11,805,785,20,17,1,60,24,3,0,0,0,0,609,59,137,167,557,46,3,2,707,2,9,5,7,Matches
Adam Lallana\99813635,eng ENG,MFFW,30,5.2,308,296,12,2,0,58,3,7,5,2,1,0,230,42,36,87,190,18,2,4,256,0,0,9,9,Matches
Daniel Sturridge\1b7ec703,eng ENG,FWMF,28,5.7,195,194,1,0,3,28,5,4,0,0,0,0,144,25,26,139,45,5,0,2,157,2,1,3,8,Matches
Divock Origi\43a166b4,be BEL,FW,23,4.1,114,112,2,0,3,27,6,7,0,0,0,0,77,15,22,20,83,3,2,2,77,0,4,2,9,Matches
Alberto Moreno\11b9265b,es ESP,DF,26,1.7,121,108,13,0,0,11,2,3,0,0,0,0,84,17,20,102,2,3,13,1,106,0,2,4,2,Matches
Nathaniel Clyne\0442183b,eng ENG,DF,27,1.2,88,63,25,2,0,11,2,3,0,0,0,0,49,24,15,5,56,1,23,2,70,0,0,4,1,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,24,0.2,14,14,0,0,0,0,0,0,0,0,0,0,10,1,3,1,13,0,0,0,12,0,0,0,2,Matches
Rafael Camacho\91b43c98,pt POR,DF,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.1,38,25311,23410,1901,459,58,3099,793,520,247,77,98,10,18126,2955,4230,6297,16508,862,919,286,21171,71,373,603,513,
Opponent Total,,,26.9,38,15736,13997,1739,378,31,2370,460,358,124,46,39,14,9500,2216,4020,4230,9168,848,742,229,11650,116,395,422,414,
