Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Alisson\7a2e46a8,br BRA,GK,25,38,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
Virgil van Dijk\e06683ca,nl NED,DF,27,37.6,4,32,9,28.1,0.85,0.24,0.13,0.44,11.9,1,0,0,3.1,3.1,0.1,+0.9,+0.9,Matches
Mohamed Salah\e342ad68,eg EGY,FW,26,36.1,22,134,59,44,3.71,1.63,0.14,0.32,16.6,3,3,3,18.8,16.5,0.12,+3.2,+2.5,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,24,35.7,0,14,5,35.7,0.39,0.14,0,0,18.2,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
Sadio Mané\c691bfe2,sn SEN,FW,26,34.2,22,91,44,48.4,2.66,1.29,0.24,0.5,12.2,0,0,0,17.3,17.3,0.19,+4.7,+4.7,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,27,30.3,3,31,9,29,1.02,0.3,0.1,0.33,14.3,0,0,0,2.9,2.9,0.09,+0.1,+0.1,Matches
Roberto Firmino\4c370d81,br BRA,FWMF,26,29,12,75,33,44,2.59,1.14,0.15,0.33,14.7,0,1,1,13.3,12.5,0.17,-1.3,-1.5,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,19,27.4,1,29,9,31,1.06,0.33,0.03,0.11,24.5,9,0,0,1.4,1.4,0.05,-0.4,-0.4,Matches
Fabinho\7f3b388c,br BRA,MF,24,22.4,1,17,4,23.5,0.76,0.18,0.06,0.25,23.3,0,0,0,0.8,0.8,0.05,+0.2,+0.2,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,28,22.1,1,16,1,6.3,0.72,0.05,0.06,1,18.2,0,0,0,1.6,1.6,0.1,-0.6,-0.6,Matches
James Milner\2f90f6b8,eng ENG,MFDF,32,19.9,5,21,4,19,1.06,0.2,0.1,0.5,21.7,1,3,3,4,1.7,0.08,+1.0,+0.3,Matches
Joël Matip\b217ef29,cm CMR,DF,26,17.1,1,8,2,25,0.47,0.12,0.13,0.5,7.6,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Matches
Naby Keïta\f25c8e3a,gn GUI,MFFW,23,15.4,2,28,10,35.7,1.81,0.65,0.07,0.2,17.3,0,0,0,2.5,2.5,0.09,-0.5,-0.5,Matches
Joe Gomez\7a11550b,eng ENG,DF,21,11.8,0,5,1,20,0.42,0.08,0,0,14.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Xherdan Shaqiri\6421ec64,ch SUI,FWMF,26,11.8,6,26,10,38.5,2.2,0.85,0.23,0.6,19,5,0,0,3.7,3.7,0.14,+2.3,+2.3,Matches
Dejan Lovren\1a2935f6,hr CRO,DF,29,11,1,6,1,16.7,0.55,0.09,0.17,1,13.3,0,0,0,0.7,0.7,0.12,+0.3,+0.3,Matches
Adam Lallana\99813635,eng ENG,MFFW,30,5.2,0,5,1,20,0.96,0.19,0,0,17.1,0,0,0,0.5,0.5,0.1,-0.5,-0.5,Matches
Daniel Sturridge\1b7ec703,eng ENG,FWMF,28,5.7,2,18,6,33.3,3.18,1.06,0.11,0.33,20.3,0,0,0,1.3,1.3,0.07,+0.7,+0.7,Matches
Divock Origi\43a166b4,be BEL,FW,23,4.1,3,13,6,46.2,3.15,1.46,0.23,0.5,16.2,1,0,0,2.3,2.3,0.17,+0.7,+0.7,Matches
Alberto Moreno\11b9265b,es ESP,DF,26,1.7,0,1,0,0,0.58,0,0,,28.2,0,0,0,0,0,0.02,0,0,Matches
Nathaniel Clyne\0442183b,eng ENG,DF,27,1.2,0,3,1,33.3,2.43,0.81,0,0,29.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,24,0.2,0,1,1,100,4.29,4.29,0,0,9.8,0,0,0,0.3,0.3,0.3,-0.3,-0.3,Matches
Rafael Camacho\91b43c98,pt POR,DF,18,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
Squad Total,,,26.1,38,86,574,216,37.6,15.11,5.68,0.14,0.37,16.3,20,7,7,75.5,70.2,0.12,+10.5,+8.8,
Opponent Total,,,26.9,38,22,306,98,32,8.05,2.58,0.07,0.22,17.7,9,0,1,31,30.2,0.1,-9,-8.2,
