Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2020-01-23,20:00,Matchweek 24,Thu,Away,W,2,1,Wolves,1.5,1.6,54,31746,Jordan Henderson,4-3-2003,Michael Oliver,Match Report,
2020-01-29,19:45,Matchweek 18,Wed,Away,W,2,0,West Ham,2.5,0.8,69,59959,Jordan Henderson,4-3-2003,Jonathan Moss,Match Report,
2020-02-01,15:00,Matchweek 25,Sat,Home,W,4,0,Southampton,3.2,1,61,53291,Jordan Henderson,4-3-2003,Kevin Friend,Match Report,
2020-02-15,17:30,Matchweek 26,Sat,Away,W,1,0,Norwich City,1.9,0.4,64,27110,Jordan Henderson,4-3-2003,Stuart Attwell,Match Report,
2020-02-24,20:00,Matchweek 27,Mon,Home,W,3,2,West Ham,2.9,0.7,68,53313,Virgil van Dijk,4-3-2003,Jonathan Moss,Match Report,
2020-02-29,17:30,Matchweek 28,Sat,Away,L,0,3,Watford,0.3,2.2,69,21634,Virgil van Dijk,4-3-2003,Michael Oliver,Match Report,
2020-03-07,12:30,Matchweek 29,Sat,Home,W,2,1,Bournemouth,1.4,1.3,73,53323,James Milner,4-3-2003,Paul Tierney,Match Report,
2020-06-21,19:00,Matchweek 30,Sun,Away,D,0,0,Everton,0.8,1.3,70,,Jordan Henderson,4-3-2003,Mike Dean,Match Report,
2020-06-24,20:15,Matchweek 31,Wed,Home,W,4,0,Crystal Palace,2.5,0.2,73,,Jordan Henderson,4-3-2003,Martin Atkinson,Match Report,
2020-07-02,20:15,Matchweek 32,Thu,Away,L,0,4,Manchester City,1.3,2.7,52,,Jordan Henderson,4-3-2003,Anthony Taylor,Match Report,
2020-07-05,16:30,Matchweek 33,Sun,Home,W,2,0,Aston Villa,0.8,0.5,70,,Virgil van Dijk,4-3-2003,Paul Tierney,Match Report,
2020-07-08,20:15,Matchweek 34,Wed,Away,W,3,1,Brighton,1.9,2.2,56,,Jordan Henderson,4-3-2003,Craig Pawson,Match Report,
2020-07-11,15:00,Matchweek 35,Sat,Home,D,1,1,Burnley,2.1,0.8,71,,Virgil van Dijk,4-3-2003,David Coote,Match Report,
2020-07-15,20:15,Matchweek 36,Wed,Away,L,1,2,Arsenal,2.8,1.1,69,,Virgil van Dijk,4-3-2003,Paul Tierney,Match Report,
2020-07-22,20:15,Matchweek 37,Wed,Home,W,5,3,Chelsea,1.4,2.3,51,,Virgil van Dijk,4-3-2003,Andre Marriner,Match Report,
2020-07-26,16:00,Matchweek 38,Sun,Away,W,3,1,Newcastle Utd,0.6,0.4,75,,James Milner,4-3-2003,Anthony Taylor,Match Report,
