Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2019-08-09,20:00,Matchweek 1,Fri,Home,W,4,1,Norwich City,1.7,1,57,53333,Jordan Henderson,4-3-2003,Michael Oliver,Match Report,
2019-08-17,15:00,Matchweek 2,Sat,Away,W,2,1,Southampton,1.4,1.6,63,31712,James Milner,4-3-2003,Andre Marriner,Match Report,
2019-08-24,17:30,Matchweek 3,Sat,Home,W,3,1,Arsenal,2.5,0.9,52,53298,Jordan Henderson,4-3-2003,Anthony Taylor,Match Report,
2019-08-31,17:30,Matchweek 4,Sat,Away,W,3,0,Burnley,1.1,0.4,63,21762,Jordan Henderson,4-3-2003,Chris Kavanagh,Match Report,
2019-09-14,12:30,Matchweek 5,Sat,Home,W,3,1,Newcastle Utd,2.7,0.4,73,51430,Virgil van Dijk,4-3-2003,Andre Marriner,Match Report,
2019-09-22,16:30,Matchweek 6,Sun,Away,W,2,1,Chelsea,0.9,1.2,45,40638,Jordan Henderson,4-3-2003,Michael Oliver,Match Report,
2019-09-28,12:30,Matchweek 7,Sat,Away,W,1,0,Sheffield Utd,1.9,1.3,70,31774,Jordan Henderson,4-3-2003,Anthony Taylor,Match Report,
2019-10-05,15:00,Matchweek 8,Sat,Home,W,2,1,Leicester City,2.8,0.1,53,53322,James Milner,4-3-2003,Chris Kavanagh,Match Report,
2019-10-20,16:30,Matchweek 9,Sun,Away,D,1,1,Manchester Utd,1.1,0.7,66,73737,Jordan Henderson,4-3-2003,Martin Atkinson,Match Report,
2019-10-27,16:30,Matchweek 10,Sun,Home,W,2,1,Tottenham,2.5,1.4,66,53222,Jordan Henderson,4-3-2003,Anthony Taylor,Match Report,
2019-11-02,15:00,Matchweek 11,Sat,Away,W,2,1,Aston Villa,2.6,0.7,72,41878,Jordan Henderson,4-3-2003,Jonathan Moss,Match Report,
2019-11-10,16:30,Matchweek 12,Sun,Home,W,3,1,Manchester City,1,1.3,45,53324,Jordan Henderson,4-3-2003,Michael Oliver,Match Report,
2019-11-23,15:00,Matchweek 13,Sat,Away,W,2,1,Crystal Palace,1.4,1,59,25486,Jordan Henderson,4-3-2003,Kevin Friend,Match Report,
2019-11-30,15:00,Matchweek 14,Sat,Home,W,2,1,Brighton,1.9,1,43,53319,Jordan Henderson,4-3-2003,Martin Atkinson,Match Report,
2019-12-04,20:15,Matchweek 15,Wed,Home,W,5,2,Everton,2.7,1.5,57,53094,James Milner,4-2-3-1,Mike Dean,Match Report,
2019-12-07,15:00,Matchweek 16,Sat,Away,W,3,0,Bournemouth,2.3,0.2,74,10832,Jordan Henderson,4-3-2003,Chris Kavanagh,Match Report,
2019-12-14,12:30,Matchweek 17,Sat,Home,W,2,0,Watford,1.6,1.4,68,53311,Jordan Henderson,4-2-3-1,Andre Marriner,Match Report,
2019-12-26,20:00,Matchweek 19,Thu,Away,W,4,0,Leicester City,3.1,0.1,59,32211,Jordan Henderson,4-3-2003,Michael Oliver,Match Report,
2019-12-29,16:30,Matchweek 20,Sun,Home,W,1,0,Wolves,1.2,0.6,63,53326,Jordan Henderson,4-2-3-1,Anthony Taylor,Match Report,
2020-01-02,20:00,Matchweek 21,Thu,Home,W,2,0,Sheffield Utd,3.2,0.8,74,53321,Jordan Henderson,4-3-2003,Paul Tierney,Match Report,
2020-01-11,17:30,Matchweek 22,Sat,Away,W,1,0,Tottenham,1.9,1.6,67,61023,Jordan Henderson,4-3-2003,Martin Atkinson,Match Report,
2020-01-19,16:30,Matchweek 23,Sun,Home,W,2,0,Manchester Utd,2.3,1.2,53,52916,Jordan Henderson,4-3-2003,Craig Pawson,Match Report,
