Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Alisson\7a2e46a8,br BRA,GK,26,29,29,2543,28.3,23,0.81,79,58,72.2,23,3,3,13,44.8,1,1,0,0,0,Matches
Adrián\f76e6b4e,es ESP,GK,32,11,9,875,9.7,10,1.03,28,17,64.3,9,0,0,2,22.2,0,0,0,0,,Matches
Squad Total,,,26.6,38,38,3418,38,33,0.87,107,75,70.1,32,3,3,15,39.5,1,1,0,0,0,
Opponent Total,,,26.3,38,38,3420,38,85,2.24,222,141,64,3,3,32,3,7.9,5,5,0,0,0,
