Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
Virgil van Dijk\e06683ca,nl NED,DF,28,38,30,20,20,9,1,6,15,40,9,133,46,34.6,84,37,12,32,16,1,16,24,54,259,2,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,20,35.3,58,25,38,14,6,34,85,40,51,409,131,32,193,123,93,53,9,0,44,34,92,98,2,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,28,32.6,37,29,13,17,7,5,34,14.7,29,489,160,32.7,126,256,107,35,4,0,31,14,51,34,1,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,25,34.6,60,32,19,25,16,30,68,44.1,38,390,134,34.4,136,144,110,59,7,0,52,30,90,82,0,Matches
Roberto Firmino\4c370d81,br BRA,FW,27,33.2,37,26,7,17,13,10,34,29.4,24,694,216,31.1,58,306,330,47,5,0,42,11,48,16,0,Matches
Mohamed Salah\e342ad68,eg EGY,FW,27,32,21,13,3,5,13,4,27,14.8,23,552,180,32.6,49,161,342,13,3,0,10,5,26,2,0,Matches
Sadio Mané\c691bfe2,sn SEN,FW,27,30.5,50,35,13,23,14,15,46,32.6,31,504,153,30.4,108,168,228,30,1,0,29,11,61,5,0,Matches
Alisson\7a2e46a8,br BRA,GK,26,28.3,0,0,0,0,0,0,3,0,3,5,1,20,5,0,0,0,0,0,0,1,1,2,1,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,29,24.9,65,36,23,30,12,23,63,36.5,40,532,169,31.8,135,286,111,37,5,0,32,12,77,27,0,Matches
Fabinho\7f3b388c,br BRA,MF,25,23.1,77,53,27,37,13,26,65,40,39,428,139,32.5,149,219,60,36,2,0,34,25,102,34,0,Matches
Joe Gomez\7a11550b,eng ENG,DF,22,22.3,26,15,17,9,0,10,22,45.5,12,151,60,39.7,92,55,4,25,8,0,17,19,45,90,1,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,25,16.5,23,14,4,12,7,5,24,20.8,19,374,111,29.7,79,171,124,27,2,0,25,13,36,7,0,Matches
James Milner\2f90f6b8,eng ENG,MFDF,33,10.4,17,10,3,13,1,4,22,18.2,18,169,41,24.3,50,93,26,15,3,1,12,7,24,25,0,Matches
Adrián\f76e6b4e,es ESP,GK,32,9.7,0,0,0,0,0,0,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,2,Matches
Naby Keïta\f25c8e3a,gn GUI,MF,24,9.1,27,20,8,13,6,9,25,36,16,213,78,36.6,41,99,73,19,0,0,19,14,41,4,0,Matches
Dejan Lovren\1a2935f6,hr CRO,DF,30,8.6,16,9,12,4,0,7,13,53.8,6,80,22,27.5,56,22,2,13,6,0,7,8,24,81,1,Matches
Joël Matip\b217ef29,cm CMR,DF,27,7.8,13,9,5,6,2,5,12,41.7,7,64,27,42.2,35,27,2,7,3,0,4,5,18,76,0,Matches
Divock Origi\43a166b4,be BEL,FW,24,8,15,10,2,7,6,4,7,57.1,3,152,53,34.9,15,61,76,6,0,0,6,2,17,7,0,Matches
Adam Lallana\99813635,eng ENG,MFFW,31,4.2,20,12,9,9,2,9,27,33.3,18,132,41,31.1,45,55,32,13,0,0,13,6,26,3,0,Matches
Neco Williams\dd323728,wls WAL,DF,18,2.6,6,2,1,3,2,3,4,75,1,36,12,33.3,11,15,10,7,1,0,6,2,8,8,0,Matches
Takumi Minamino\f833a830,jp JPN,FWMF,24,2.8,4,3,1,3,0,1,7,14.3,6,63,20,31.7,11,27,25,3,0,0,3,0,4,2,0,Matches
Xherdan Shaqiri\6421ec64,ch SUI,FWMF,27,2.1,1,0,0,1,0,0,0,,0,39,12,30.8,11,13,15,1,0,0,1,0,1,0,0,Matches
Curtis Jones\4fb9c88f,eng ENG,MF,18,1.4,3,2,0,1,2,2,3,66.7,1,27,7,25.9,5,8,14,3,0,0,3,3,6,1,0,Matches
Harvey Elliott\c8387671,eng ENG,DF,16,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.6,38,606,375,225,258,123,212,607,34.9,395,5638,1813,32.2,1496,2346,1796,481,75,2,406,246,852,863,10,
Opponent Total,,,26.3,38,661,420,419,204,38,234,716,32.7,482,6422,1743,27.1,2578,2641,1203,722,180,3,542,317,978,1284,21,
