Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Virgil van Dijk\e06683ca,nl NED,DF,28,38,5,30,14,46.7,0.79,0.37,0.17,0.36,11.3,0,0,0,2.9,2.9,0.1,+2.1,+2.1,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,20,35.3,4,44,13,29.5,1.25,0.37,0.09,0.31,22.6,12,0,0,2.8,2.8,0.06,+1.2,+1.2,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,28,32.6,4,36,15,41.7,1.1,0.46,0.11,0.27,15.1,0,0,0,3.1,3.1,0.09,+0.9,+0.9,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,25,34.6,2,20,6,30,0.58,0.17,0.1,0.33,17.7,0,0,0,1.6,1.6,0.08,+0.4,+0.4,Matches
Roberto Firmino\4c370d81,br BRA,FW,27,33.2,9,100,37,37,3.01,1.11,0.09,0.24,13.3,0,0,0,13.5,13.5,0.13,-4.5,-4.5,Matches
Mohamed Salah\e342ad68,eg EGY,FW,27,32,19,130,56,43.1,4.07,1.75,0.12,0.29,14.8,4,3,3,19.4,17.2,0.13,-0.4,-1.2,Matches
Sadio Mané\c691bfe2,sn SEN,FW,27,30.5,18,76,36,47.4,2.49,1.18,0.24,0.5,13,0,0,0,13.8,13.8,0.19,+4.2,+4.2,Matches
Alisson\7a2e46a8,br BRA,GK,26,28.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,29,24.9,4,20,8,40,0.8,0.32,0.2,0.5,18.5,0,0,0,1.4,1.4,0.07,+2.6,+2.6,Matches
Fabinho\7f3b388c,br BRA,MF,25,23.1,2,12,4,33.3,0.52,0.17,0.17,0.5,26.7,2,0,0,0.4,0.4,0.03,+1.6,+1.6,Matches
Joe Gomez\7a11550b,eng ENG,DF,22,22.3,0,1,0,0,0.04,0,0,,30,0,0,0,0,0,0.02,0,0,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,25,16.5,4,40,10,25,2.42,0.61,0.1,0.4,22,0,0,0,2.9,2.9,0.07,+1.1,+1.1,Matches
James Milner\2f90f6b8,eng ENG,MFDF,33,10.4,2,10,1,10,0.96,0.1,0,0,24.7,0,2,2,2.1,0.6,0.06,-0.1,-0.6,Matches
Adrián\f76e6b4e,es ESP,GK,32,9.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
Naby Keïta\f25c8e3a,gn GUI,MF,24,9.1,2,12,7,58.3,1.33,0.77,0.17,0.29,18.4,0,0,0,1.5,1.5,0.13,+0.5,+0.5,Matches
Dejan Lovren\1a2935f6,hr CRO,DF,30,8.6,0,5,1,20,0.58,0.12,0,0,8,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Joël Matip\b217ef29,cm CMR,DF,27,7.8,1,4,1,25,0.51,0.13,0.25,1,9.3,0,0,0,0.3,0.3,0.08,+0.7,+0.7,Matches
Divock Origi\43a166b4,be BEL,FW,24,8,4,14,6,42.9,1.76,0.75,0.29,0.67,15.9,0,0,0,2.2,2.2,0.16,+1.8,+1.8,Matches
Adam Lallana\99813635,eng ENG,MFFW,31,4.2,1,5,1,20,1.18,0.24,0.2,1,15.3,0,0,0,1.1,1.1,0.21,-0.1,-0.1,Matches
Neco Williams\dd323728,wls WAL,DF,18,2.6,0,7,1,14.3,2.74,0.39,0,0,21.4,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Takumi Minamino\f833a830,jp JPN,FWMF,24,2.8,0,9,2,22.2,3.25,0.72,0,0,18.1,0,0,0,1.4,1.4,0.16,-1.4,-1.4,Matches
Xherdan Shaqiri\6421ec64,ch SUI,FWMF,27,2.1,1,4,1,25,1.95,0.49,0.25,1,19.5,0,0,0,0.6,0.6,0.14,+0.4,+0.4,Matches
Curtis Jones\4fb9c88f,eng ENG,MF,18,1.4,1,6,2,33.3,4.29,1.43,0.17,0.5,16.7,0,0,0,0.9,0.9,0.15,+0.1,+0.1,Matches
Harvey Elliott\c8387671,eng ENG,DF,16,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
Squad Total,,,26.6,38,83,585,222,37.9,15.39,5.84,0.13,0.35,16.1,18,5,5,71.5,67.7,0.12,+11.5,+10.3,
Opponent Total,,,26.3,38,32,340,107,31.5,8.95,2.82,0.09,0.29,16.7,5,1,1,40,39.3,0.12,-8,-8.3,
