Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Virgil van Dijk\e06683ca,nl NED,DF,28,38,2791,3085,90.5,65376,18443,634,678,93.5,1536,1619,94.9,607,766,79.2,1,1.3,-0.3,7,227,9,0,154,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,20,35.3,2254,3147,71.6,49838,19993,761,850,89.5,1014,1275,79.5,446,902,49.4,13,9.9,+3.1,85,200,90,30,274,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,28,32.6,1477,1628,90.7,25469,4629,714,777,91.9,607,642,94.5,132,155,85.2,0,1.2,-1.2,18,131,22,0,102,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,25,34.6,2370,2928,80.9,43609,14607,1062,1195,88.9,1033,1204,85.8,251,452,55.5,12,7.6,+4.4,61,176,62,27,255,Matches
Roberto Firmino\4c370d81,br BRA,FW,27,33.2,931,1171,79.5,14337,3589,505,603,83.7,320,386,82.9,64,81,79,8,6.3,+1.7,49,69,35,0,103,Matches
Mohamed Salah\e342ad68,eg EGY,FW,27,32,746,1004,74.3,11227,2982,440,540,81.5,245,315,77.8,43,83,51.8,10,7.3,+2.7,54,41,60,6,106,Matches
Sadio Mané\c691bfe2,sn SEN,FW,27,30.5,933,1162,80.3,15604,3867,484,560,86.4,328,405,81,96,128,75,7,7.3,-0.3,56,65,67,11,120,Matches
Alisson\7a2e46a8,br BRA,GK,26,28.3,794,925,85.8,22277,12306,150,150,100,352,356,98.9,290,417,69.5,1,0.5,+0.5,2,7,1,0,1,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,29,24.9,1582,1879,84.2,32654,7684,572,620,92.3,703,787,89.3,284,413,68.8,5,2.8,+2.2,22,181,32,6,173,Matches
Fabinho\7f3b388c,br BRA,MF,25,23.1,1334,1528,87.3,27064,5347,445,488,91.2,659,733,89.9,211,272,77.6,3,1.8,+1.2,18,128,21,2,98,Matches
Joe Gomez\7a11550b,eng ENG,DF,22,22.3,1743,1960,88.9,39368,10458,412,460,89.6,965,1021,94.5,352,455,77.4,0,0.2,-0.2,5,130,11,2,92,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,25,16.5,592,748,79.1,11905,2554,236,275,85.8,246,298,82.6,100,144,69.4,1,1.2,-0.2,17,84,31,7,71,Matches
James Milner\2f90f6b8,eng ENG,MFDF,33,10.4,664,773,85.9,13508,3314,237,260,91.2,318,345,92.2,105,147,71.4,2,0.7,+1.3,9,68,11,1,64,Matches
Adrián\f76e6b4e,es ESP,GK,32,9.7,227,314,72.3,6819,3815,30,30,100,104,106,98.1,91,174,52.3,0,0,0,0,3,0,0,0,Matches
Naby Keïta\f25c8e3a,gn GUI,MF,24,9.1,608,684,88.9,9688,2389,328,349,94,225,252,89.3,43,59,72.9,3,2.3,+0.7,15,74,16,2,63,Matches
Dejan Lovren\1a2935f6,hr CRO,DF,30,8.6,530,603,87.9,11989,3514,141,152,92.8,280,296,94.6,108,150,72,1,0.4,+0.6,1,43,4,0,34,Matches
Joël Matip\b217ef29,cm CMR,DF,27,7.8,448,514,87.2,10256,3136,98,107,91.6,264,282,93.6,85,122,69.7,0,0,0,0,46,2,0,39,Matches
Divock Origi\43a166b4,be BEL,FW,24,8,158,219,72.1,2486,350,88,115,76.5,49,66,74.2,15,29,51.7,1,0.2,+0.8,6,5,9,2,10,Matches
Adam Lallana\99813635,eng ENG,MFFW,31,4.2,229,270,84.8,3398,790,133,142,93.7,80,97,82.5,10,16,62.5,1,0.7,+0.3,5,23,4,0,18,Matches
Neco Williams\dd323728,wls WAL,DF,18,2.6,165,205,80.5,3196,700,65,70,92.9,76,90,84.4,22,36,61.1,0,0.1,-0.1,2,6,3,1,7,Matches
Takumi Minamino\f833a830,jp JPN,FWMF,24,2.8,98,111,88.3,1465,186,54,60,90,35,39,89.7,5,7,71.4,0,0,0,1,3,4,1,5,Matches
Xherdan Shaqiri\6421ec64,ch SUI,FWMF,27,2.1,90,109,82.6,1637,529,46,53,86.8,28,31,90.3,15,23,65.2,0,0.2,-0.2,3,11,3,2,14,Matches
Curtis Jones\4fb9c88f,eng ENG,MF,18,1.4,111,128,86.7,1843,452,59,64,92.2,44,52,84.6,7,8,87.5,0,0,0,0,11,3,0,12,Matches
Harvey Elliott\c8387671,eng ENG,DF,16,0.1,12,15,80,204,79,7,7,100,4,5,80,1,3,33.3,0,0,0,0,2,1,1,1,Matches
Squad Total,,,26.6,38,20887,25110,83.2,425217,125713,7701,8605,89.5,9515,10702,88.9,3383,5042,67.1,69,51.8,+17.2,436,1734,501,101,1816,
Opponent Total,,,26.3,38,10739,14771,72.7,213825,79860,4481,5226,85.7,4365,5391,81,1668,3529,47.3,23,29.1,-6.1,247,698,197,63,794,
