Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
Virgil van Dijk\e06683ca,nl NED,DF,28,38,3465,340,1432,2083,107,48,3382,3,5,60,4,0,2321,9243,4829,137,20,0,2,2,2568,2514,97.9,34,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,20,35.3,3520,106,850,1641,1244,63,2865,26,56,46.4,30,4,2108,8488,5128,245,92,12,36,22,2363,2230,94.4,117,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,28,32.6,1919,41,289,1191,563,82,1892,49,78,62.8,50,5,1504,7346,3246,160,56,6,36,41,1635,1441,88.1,130,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,25,34.6,3265,100,684,1619,1217,95,2879,24,48,50,30,0,2164,10629,6486,261,112,16,39,20,2438,2276,93.4,161,Matches
Roberto Firmino\4c370d81,br BRA,FW,27,33.2,1573,21,118,743,806,229,1543,59,97,60.8,64,2,1168,5582,3040,163,51,27,64,59,1818,1218,67,372,Matches
Mohamed Salah\e342ad68,eg EGY,FW,27,32,1405,5,57,408,1018,317,1349,66,99,66.7,70,3,1069,4891,2904,186,40,54,85,79,1815,1109,61.1,382,Matches
Sadio Mané\c691bfe2,sn SEN,FW,27,30.5,1590,13,125,629,1000,219,1572,76,116,65.5,84,6,1248,7958,4406,235,82,57,85,72,1843,1275,69.2,389,Matches
Alisson\7a2e46a8,br BRA,GK,26,28.3,984,804,976,9,0,0,760,0,0,,0,0,549,2115,1090,0,0,0,1,0,494,490,99.2,0,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,29,24.9,2098,40,328,1376,507,45,2055,18,33,54.5,22,3,1456,6996,3367,152,48,6,17,11,1674,1553,92.8,75,Matches
Fabinho\7f3b388c,br BRA,MF,25,23.1,1735,42,381,1115,324,13,1715,10,12,83.3,11,1,1136,4964,2236,85,25,1,11,12,1257,1205,95.9,44,Matches
Joe Gomez\7a11550b,eng ENG,DF,22,22.3,2141,175,860,1344,67,4,2097,11,16,68.8,12,0,1564,7942,4032,101,13,1,10,2,1578,1566,99.2,7,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,25,16.5,966,13,86,527,432,47,952,35,54,64.8,36,0,703,3728,1840,103,35,6,33,38,885,731,82.6,123,Matches
James Milner\2f90f6b8,eng ENG,MFDF,33,10.4,874,29,164,509,241,12,810,9,13,69.2,10,0,562,2384,1159,53,19,1,3,7,673,635,94.4,33,Matches
Adrián\f76e6b4e,es ESP,GK,32,9.7,338,301,338,0,0,0,244,0,0,,0,0,163,641,355,0,0,0,0,0,155,154,99.4,0,Matches
Naby Keïta\f25c8e3a,gn GUI,MF,24,9.1,783,8,88,493,261,26,775,20,26,76.9,21,1,588,3242,1858,111,32,2,8,10,668,605,90.6,51,Matches
Dejan Lovren\1a2935f6,hr CRO,DF,30,8.6,730,75,354,407,22,13,715,1,1,100,1,0,436,2438,1402,43,5,0,2,1,489,486,99.4,10,Matches
Joël Matip\b217ef29,cm CMR,DF,27,7.8,626,49,278,361,32,8,610,2,2,100,2,0,398,2464,1733,67,14,0,1,2,412,408,99,5,Matches
Divock Origi\43a166b4,be BEL,FW,24,8,342,6,26,142,202,45,340,11,26,42.3,13,1,255,1295,768,43,10,12,21,24,387,256,66.1,75,Matches
Adam Lallana\99813635,eng ENG,MFFW,31,4.2,333,7,52,178,126,12,331,2,6,33.3,4,1,236,1018,480,28,13,1,5,7,273,236,86.4,27,Matches
Neco Williams\dd323728,wls WAL,DF,18,2.6,245,3,59,110,90,10,210,6,13,46.2,7,0,151,712,332,23,3,4,3,0,168,147,87.5,9,Matches
Takumi Minamino\f833a830,jp JPN,FWMF,24,2.8,156,3,11,76,83,20,155,4,8,50,4,0,123,520,198,14,3,1,9,9,169,130,76.9,39,Matches
Xherdan Shaqiri\6421ec64,ch SUI,FWMF,27,2.1,129,1,18,65,50,3,116,2,4,50,2,0,90,328,117,7,0,0,3,5,119,96,80.7,11,Matches
Curtis Jones\4fb9c88f,eng ENG,MF,18,1.4,146,1,21,79,54,7,146,4,4,100,4,0,116,537,306,21,6,1,3,3,124,115,92.7,7,Matches
Harvey Elliott\c8387671,eng ENG,DF,16,0.1,16,0,0,5,11,0,12,1,1,100,1,0,10,27,5,0,0,0,0,1,14,11,78.6,2,Matches
Squad Total,,,26.6,38,29379,2183,7595,15110,8457,1318,27525,439,718,61.1,482,27,20118,95488,51317,2238,679,208,477,427,24019,20887,87,2103,
Opponent Total,,,26.3,38,19448,3276,8561,7848,4042,615,17738,364,608,59.9,395,30,11096,54989,28394,1057,284,124,461,394,13563,10739,79.2,1035,
