Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Virgil van Dijk\e06683ca,nl NED,DF,28,38,3420,90,100,38,38,90,38,0,,0,2.61,85,33,+52,+1.37,,71.5,40,+31.5,+0.83,,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,20,38,3175,84,92.8,35.3,35,88,31,3,26,0,2.61,80,31,+49,+1.39,+0.29,68,38.6,+29.5,+0.83,+0.10,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,28,37,2935,79,85.8,32.6,35,82,20,2,28,0,2.59,74,28,+46,+1.41,+0.30,60.7,35.7,+25.0,+0.77,-0.42,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,25,36,3111,86,91,34.6,34,89,30,2,39,0,2.64,80,31,+49,+1.42,+0.54,67.5,34.9,+32.5,+0.94,+1.26,Matches
Roberto Firmino\4c370d81,br BRA,FW,27,38,2988,79,87.4,33.2,34,84,14,4,33,0,2.61,75,26,+49,+1.48,+0.85,64.6,34.1,+30.5,+0.92,+0.71,Matches
Mohamed Salah\e342ad68,eg EGY,FW,27,34,2876,85,84.1,32,33,86,20,1,27,3,2.68,68,26,+42,+1.31,-0.34,61.1,32.7,+28.3,+0.89,+0.37,Matches
Sadio Mané\c691bfe2,sn SEN,FW,27,35,2747,78,80.3,30.5,31,85,19,4,26,1,2.57,66,28,+38,+1.24,-0.63,57.3,31.8,+25.5,+0.83,+0.03,Matches
Alisson\7a2e46a8,br BRA,GK,26,29,2543,88,74.4,28.3,29,88,27,0,,0,2.48,61,23,+38,+1.34,-0.09,52.7,30.7,+22.1,+0.78,-0.18,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,29,30,2238,75,65.4,24.9,26,84,16,4,16,1,2.77,54,14,+40,+1.61,+0.69,47.9,25.1,+22.7,+0.91,+0.25,Matches
Fabinho\7f3b388c,br BRA,MF,25,28,2079,74,60.8,23.1,22,89,21,6,22,2,2.46,50,26,+24,+1.04,-0.84,41.7,26.8,+14.9,+0.64,-0.47,Matches
Joe Gomez\7a11550b,eng ENG,DF,22,28,2004,72,58.6,22.3,22,88,21,6,12,9,2.64,53,16,+37,+1.66,+0.71,43.9,23.7,+20.2,+0.91,+0.19,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,25,30,1485,50,43.4,16.5,17,70,0,13,23,4,2.5,35,12,+23,+1.39,+0.05,29.4,18.4,+11.0,+0.67,-0.29,Matches
James Milner\2f90f6b8,eng ENG,MFDF,33,22,937,43,27.4,10.4,9,83,7,13,15,5,2.91,26,9,+17,+1.63,+0.36,19.7,9.3,+10.4,+1.00,+0.23,Matches
Adrián\f76e6b4e,es ESP,GK,32,11,875,80,25.6,9.7,9,90,9,2,33,27,3,24,10,+14,+1.44,+0.10,18.7,9.6,+9.2,+0.94,+0.16,Matches
Naby Keïta\f25c8e3a,gn GUI,MF,24,18,815,45,23.8,9.1,9,73,1,9,18,9,2.33,19,7,+12,+1.33,-0.06,15.3,7.9,+7.4,+0.81,-0.02,Matches
Dejan Lovren\1a2935f6,hr CRO,DF,30,10,777,78,22.7,8.6,9,84,8,1,18,10,2.5,19,11,+8,+0.93,-0.57,15.7,10.4,+5.3,+0.61,-0.28,Matches
Joël Matip\b217ef29,cm CMR,DF,27,9,703,78,20.6,7.8,8,88,7,1,1,7,2.56,15,5,+10,+1.28,-0.11,12.4,6.9,+5.5,+0.70,-0.16,Matches
Divock Origi\43a166b4,be BEL,FW,24,28,717,26,21,8,7,61,0,21,14,9,2.54,23,12,+11,+1.38,+0.02,14.1,11.5,+2.6,+0.33,-0.63,Matches
Adam Lallana\99813635,eng ENG,MFFW,31,15,382,25,11.2,4.2,3,73,0,12,14,11,2.67,9,5,+4,+0.94,-0.48,8.6,4.2,+4.3,+1.02,+0.22,Matches
Neco Williams\dd323728,wls WAL,DF,18,6,230,38,6.7,2.6,3,66,0,3,11,9,2.17,5,3,+2,+0.78,-0.63,3.7,2.2,+1.5,+0.58,-0.27,Matches
Takumi Minamino\f833a830,jp JPN,FWMF,24,10,249,25,7.3,2.8,2,54,0,8,18,7,1.9,4,2,+2,+0.72,-0.7,4.8,2.5,+2.3,+0.83,0,Matches
Xherdan Shaqiri\6421ec64,ch SUI,FWMF,27,7,185,26,5.4,2.1,2,80,1,5,5,10,2.57,6,2,+4,+1.95,+0.61,4.3,3,+1.3,+0.63,-0.21,Matches
Curtis Jones\4fb9c88f,eng ENG,MF,18,6,126,21,3.7,1.4,1,68,0,5,12,10,2.67,4,2,+2,+1.43,+0.06,2.8,0.4,+2.4,+1.72,+0.92,Matches
Harvey Elliott\c8387671,eng ENG,DF,16,2,8,4,0.2,0.1,0,,0,2,4,10,3,0,0,0,0,-1.37,0.2,0,+0.2,+2.36,+1.53,Matches
Rhian Brewster\30e81a88,eng ENG,FW,19,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Ki-Jana Hoever\9a71e978,nl NED,DF,17,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Caoimhín Kelleher\62d7ef38,ie IRL,GK,20,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
Andy Lonergan\165cf989,ie IRL,GK,35,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Nathaniel Phillips\515ebe8d,eng ENG,DF,22,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Squad Total,,,26.6,38,3420,90,100,38,418,85,,127,17,157,2.61,85,33,+52,+1.37,,71.5,40,+31.5,+0.83,,
Opponent Total,,,26.3,38,3420,90,100,38,418,84,,109,22,174,2.61,33,85,-52,-1.37,,40,71.5,-31.5,-0.83,,
