Player,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
Virgil van Dijk\e06683ca,nl NED,DF,28,38,24,0.63,19,0,0,1,2,2,6,0.16,4,0,0,0,1,1,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,20,35.3,151,4.28,91,50,3,5,1,1,23,0.65,14,7,0,2,0,0,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,28,32.6,46,1.41,36,0,5,1,3,1,3,0.09,3,0,0,0,0,0,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,25,34.6,111,3.21,88,13,5,1,0,4,19,0.55,15,1,3,0,0,0,Matches
Roberto Firmino\4c370d81,br BRA,FW,27,33.2,97,2.92,72,0,15,4,3,3,19,0.57,14,0,4,1,0,0,Matches
Mohamed Salah\e342ad68,eg EGY,FW,27,32,120,3.76,76,4,23,10,5,2,16,0.5,8,2,4,1,1,0,Matches
Sadio Mané\c691bfe2,sn SEN,FW,27,30.5,109,3.57,85,0,6,3,13,2,16,0.52,9,0,0,1,5,1,Matches
Alisson\7a2e46a8,br BRA,GK,26,28.3,4,0.14,4,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,29,24.9,45,1.81,40,1,1,3,0,0,6,0.24,5,0,0,1,0,0,Matches
Fabinho\7f3b388c,br BRA,MF,25,23.1,34,1.47,30,0,1,0,1,2,3,0.13,3,0,0,0,0,0,Matches
Joe Gomez\7a11550b,eng ENG,DF,22,22.3,16,0.72,15,0,0,1,0,0,4,0.18,3,0,0,1,0,0,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,25,16.5,42,2.55,31,0,3,3,4,1,4,0.24,1,0,2,0,1,0,Matches
James Milner\2f90f6b8,eng ENG,MFDF,33,10.4,23,2.21,19,1,0,1,2,0,4,0.38,4,0,0,0,0,0,Matches
Adrián\f76e6b4e,es ESP,GK,32,9.7,2,0.21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Naby Keïta\f25c8e3a,gn GUI,MF,24,9.1,32,3.53,28,1,2,1,0,0,5,0.55,5,0,0,0,0,0,Matches
Dejan Lovren\1a2935f6,hr CRO,DF,30,8.6,5,0.58,5,0,0,0,0,0,2,0.23,2,0,0,0,0,0,Matches
Joël Matip\b217ef29,cm CMR,DF,27,7.8,5,0.64,4,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
Divock Origi\43a166b4,be BEL,FW,24,8,22,2.76,11,0,6,2,3,0,3,0.38,0,0,1,1,1,0,Matches
Adam Lallana\99813635,eng ENG,MFFW,31,4.2,9,2.12,7,0,1,0,1,0,1,0.24,1,0,0,0,0,0,Matches
Neco Williams\dd323728,wls WAL,DF,18,2.6,4,1.57,3,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
Takumi Minamino\f833a830,jp JPN,FWMF,24,2.8,3,1.08,2,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
Xherdan Shaqiri\6421ec64,ch SUI,FWMF,27,2.1,4,1.95,2,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Curtis Jones\4fb9c88f,eng ENG,MF,18,1.4,3,2.14,2,0,1,0,0,0,1,0.71,1,0,0,0,0,0,Matches
Harvey Elliott\c8387671,eng ENG,DF,16,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.6,38,911,23.97,672,72,73,37,39,18,136,3.58,93,10,14,8,9,2,
Opponent Total,,,26.3,38,524,13.79,372,49,42,21,22,18,53,1.39,34,8,2,3,3,3,
