Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,26,37.6,2567,3213,79.9,47107,15919,1112,1261,88.2,1171,1344,87.1,258,521,49.5,7,6.9,+0.1,66,177,66,26,265,Matches
Mohamed Salah\e342ad68,eg EGY,FW,28,34.2,1071,1288,83.2,16219,3877,632,696,90.8,342,409,83.6,63,100,63,5,6.3,-1.3,54,61,74,12,137,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,21,33.7,2216,2941,75.3,47515,19500,784,889,88.2,994,1189,83.6,419,777,53.9,7,8.1,-1.1,73,208,101,32,278,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,29,32.7,1630,1747,93.3,28047,5426,780,824,94.7,663,699,94.8,153,171,89.5,0,1.7,-1.7,22,140,21,1,93,Matches
Alisson\7a2e46a8,br BRA,GK,27,33,968,1137,85.1,25310,13346,159,161,98.8,526,536,98.1,280,436,64.2,0,0,0,0,7,0,0,1,Matches
Roberto Firmino\4c370d81,br BRA,FW,28,31.5,1043,1308,79.7,15705,3943,592,692,85.5,347,431,80.5,64,91,70.3,7,6.4,+0.6,46,85,43,0,134,Matches
Sadio Mané\c691bfe2,sn SEN,FW,28,31.2,802,1064,75.4,13522,2878,405,502,80.7,287,361,79.5,88,124,71,7,5.7,+1.3,57,37,67,10,105,Matches
Fabinho\7f3b388c,br BRA,DFMF,26,28.5,1867,2049,91.1,38166,9896,592,632,93.7,984,1039,94.7,272,350,77.7,0,0.4,-0.4,3,110,16,1,102,Matches
Thiago Alcántara\77e84962,es ESP,MF,29,20.6,1498,1674,89.5,31595,8231,522,564,92.6,672,725,92.7,278,338,82.2,0,2.3,-2.3,29,207,27,1,184,Matches
Jordan Henderson\935e6b8f,eng ENG,MFDF,30,18.9,1572,1812,86.8,32801,8619,517,562,92,779,824,94.5,260,391,66.5,1,1.4,-0.4,12,206,30,1,145,Matches
Nathaniel Phillips\515ebe8d,eng ENG,DF,23,16.2,923,1058,87.2,19944,6161,265,289,91.7,492,523,94.1,159,231,68.8,1,0.4,+0.6,6,79,2,0,60,Matches
Curtis Jones\4fb9c88f,eng ENG,MF,19,13.1,890,976,91.2,15013,3201,433,465,93.1,354,374,94.7,86,105,81.9,2,1.6,+0.4,13,97,22,2,66,Matches
Diogo Jota\178ae8f8,pt POR,FW,23,12.4,327,451,72.5,5377,1228,180,220,81.8,112,151,74.2,30,49,61.2,0,1.6,-1.6,12,33,14,0,46,Matches
James Milner\2f90f6b8,eng ENG,MFDF,34,11.9,776,914,84.9,14666,4242,332,360,92.2,331,369,89.7,105,146,71.9,1,1.2,-0.2,13,76,26,5,89,Matches
Ozan Kabak\2d61d13a,tr TUR,DF,20,8.9,502,554,90.6,10365,2683,167,179,93.3,258,266,97,76,108,70.4,0,0.2,-0.2,1,16,0,0,15,Matches
Joël Matip\b217ef29,cm CMR,DF,28,7.7,466,527,88.4,10052,2584,127,136,93.4,256,271,94.5,80,114,70.2,2,1,+1.0,2,30,1,0,15,Matches
Rhys Williams\012c975a,eng ENG,DF,19,7.3,415,451,92,9374,2316,91,100,91,228,239,95.4,93,107,86.9,0,0.4,-0.4,2,21,1,0,13,Matches
Naby Keïta\f25c8e3a,gn GUI,MF,25,5.8,311,356,87.4,5328,1190,143,166,86.1,133,141,94.3,27,35,77.1,0,0.8,-0.8,6,31,10,1,32,Matches
Joe Gomez\7a11550b,eng ENG,DF,23,6.6,481,533,90.2,11406,3067,99,106,93.4,279,297,93.9,99,123,80.5,0,0,0,1,30,0,0,38,Matches
Xherdan Shaqiri\6421ec64,ch SUI,MFFW,28,6.2,356,426,83.6,6282,1550,165,183,90.2,132,153,86.3,46,64,71.9,2,3,-1,19,25,26,5,39,Matches
Virgil van Dijk\e06683ca,nl NED,DF,29,4.1,296,329,90,7078,2109,61,65,93.8,176,186,94.6,59,77,76.6,0,0,0,0,26,0,0,20,Matches
Adrián\f76e6b4e,es ESP,GK,33,3,76,99,76.8,2031,1135,16,16,100,37,38,97.4,21,43,48.8,0,0,0,0,0,0,0,0,Matches
Neco Williams\dd323728,wls WAL,DF,19,2.8,156,213,73.2,2548,872,81,91,89,54,66,81.8,14,33,42.4,0,0.3,-0.3,3,10,1,1,17,Matches
Takumi Minamino\f833a830,jp JPN,MFFW,25,3.3,111,139,79.9,1589,332,66,73,90.4,40,49,81.6,3,12,25,0,0,0,0,11,2,0,4,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,FWMF,26,2.8,104,138,75.4,2185,456,38,50,76,43,54,79.6,19,22,86.4,1,0.2,+0.8,2,17,2,0,15,Matches
Divock Origi\43a166b4,be BEL,FW,25,2.1,46,60,76.7,564,77,26,30,86.7,15,20,75,0,2,0,0,0.2,-0.2,2,2,0,0,1,Matches
Caoimhín Kelleher\62d7ef38,ie IRL,GK,21,2,51,62,82.3,1459,732,6,6,100,26,26,100,19,30,63.3,0,0,0,0,0,0,0,0,Matches
Kostas Tsimikas\f315ca93,gr GRE,DFFW,24,0.1,6,8,75,118,0,4,4,100,1,2,50,1,2,50,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.8,38,21527,25527,84.3,421366,125570,8395,9322,90.1,9732,10782,90.3,3072,4602,66.8,43,50,-7,444,1742,552,98,1914,
Opponent Total,,,26.6,38,11661,15476,75.3,235638,85827,4841,5629,86,4658,5594,83.3,1943,3646,53.3,29,29.7,-0.7,242,776,221,66,837,
