Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,26,37.6,3213,2700,513,68,3,233,115,147,118,24,65,12,2070,572,571,2608,155,95,327,2,2567,8,46,60,98,Matches
Mohamed Salah\e342ad68,eg EGY,FW,28,34.2,1288,1259,29,2,8,220,15,47,0,0,0,0,1051,121,116,1017,227,20,5,8,1071,4,6,35,51,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,21,33.7,2941,2454,487,57,9,248,147,182,104,17,57,4,1628,531,782,335,2208,63,326,6,2216,11,37,63,103,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,29,32.7,1747,1710,37,22,1,264,25,4,0,0,0,0,1476,142,129,126,1529,42,14,8,1630,1,12,25,12,Matches
Alisson\7a2e46a8,br BRA,GK,27,33,1137,901,236,63,0,82,35,0,0,0,0,0,818,59,260,96,850,1,0,159,968,3,16,11,1,Matches
Roberto Firmino\4c370d81,br BRA,FW,28,31.5,1308,1266,42,3,8,287,9,32,2,0,0,0,1020,188,100,162,1066,39,15,12,1043,2,5,63,49,Matches
Sadio Mané\c691bfe2,sn SEN,FW,28,31.2,1064,1049,15,2,5,212,26,63,2,0,0,0,753,185,126,280,709,25,11,22,802,4,12,36,62,Matches
Fabinho\7f3b388c,br BRA,DFMF,26,28.5,2049,2001,48,42,3,188,37,2,0,0,0,0,1662,146,241,142,1796,58,6,8,1867,1,14,17,8,Matches
Thiago Alcántara\77e84962,es ESP,MF,29,20.6,1674,1630,44,32,9,230,85,4,0,0,0,0,1222,195,257,83,1510,48,3,6,1498,5,18,35,23,Matches
Jordan Henderson\935e6b8f,eng ENG,MFDF,30,18.9,1812,1768,44,34,5,134,69,14,2,0,1,0,1341,167,304,226,1503,64,6,3,1572,2,16,19,22,Matches
Nathaniel Phillips\515ebe8d,eng ENG,DF,23,16.2,1058,1032,26,18,1,123,25,2,0,0,0,0,761,105,192,94,849,59,8,6,923,1,16,14,9,Matches
Curtis Jones\4fb9c88f,eng ENG,MF,19,13.1,976,965,11,1,2,100,12,7,0,0,0,0,847,54,75,125,798,34,6,5,890,2,1,17,11,Matches
Diogo Jota\178ae8f8,pt POR,FW,23,12.4,451,448,3,0,1,99,6,16,0,0,0,0,322,68,61,137,292,11,0,4,327,3,8,22,25,Matches
James Milner\2f90f6b8,eng ENG,MFDF,34,11.9,914,847,67,13,3,113,20,17,13,5,6,0,660,125,129,74,762,19,38,2,776,2,12,19,28,Matches
Ozan Kabak\2d61d13a,tr TUR,DF,20,8.9,554,542,12,11,0,70,18,0,0,0,0,0,451,48,55,75,447,14,1,1,502,2,11,3,0,Matches
Joël Matip\b217ef29,cm CMR,DF,28,7.7,527,518,9,9,1,41,7,0,0,0,0,0,411,50,66,73,416,23,0,0,466,0,4,8,5,Matches
Rhys Williams\012c975a,eng ENG,DF,19,7.3,451,444,7,7,1,35,9,0,0,0,0,0,369,32,50,30,380,32,0,0,415,0,3,7,2,Matches
Naby Keïta\f25c8e3a,gn GUI,MF,25,5.8,356,344,12,4,1,62,6,4,0,0,0,0,279,47,30,24,312,16,1,0,311,1,2,8,6,Matches
Joe Gomez\7a11550b,eng ENG,DF,23,6.6,533,526,7,7,0,65,29,0,0,0,0,0,407,31,95,38,446,31,0,0,481,1,8,1,2,Matches
Xherdan Shaqiri\6421ec64,ch SUI,MFFW,28,6.2,426,402,24,2,3,47,9,11,13,7,2,1,318,51,57,302,103,11,6,1,356,1,5,9,13,Matches
Virgil van Dijk\e06683ca,nl NED,DF,29,4.1,329,326,3,3,0,32,17,0,0,0,0,0,255,17,57,65,243,10,0,0,296,1,2,2,0,Matches
Adrián\f76e6b4e,es ESP,GK,33,3,99,70,29,7,0,9,1,0,0,0,0,0,57,9,33,12,66,0,0,20,76,1,2,0,0,Matches
Neco Williams\dd323728,wls WAL,DF,19,2.8,213,185,28,2,0,20,0,11,0,0,0,0,128,51,34,7,169,9,26,0,156,2,3,6,16,Matches
Takumi Minamino\f833a830,jp JPN,MFFW,25,3.3,139,135,4,0,0,23,1,3,1,0,0,0,95,23,21,20,111,4,1,0,111,0,3,3,4,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,FWMF,26,2.8,138,136,2,0,1,14,6,1,0,0,0,0,90,20,28,6,119,10,1,0,104,1,3,2,9,Matches
Divock Origi\43a166b4,be BEL,FW,25,2.1,60,59,1,0,0,6,0,3,0,0,0,0,50,5,5,5,50,2,1,0,46,1,1,1,4,Matches
Caoimhín Kelleher\62d7ef38,ie IRL,GK,21,2,62,45,17,3,0,3,3,0,0,0,0,0,43,3,16,7,43,0,0,10,51,0,0,0,0,Matches
Kostas Tsimikas\f315ca93,gr GRE,DFFW,24,0.1,8,6,2,0,0,0,0,1,0,0,0,0,4,3,1,6,0,0,2,0,6,0,0,0,0,Matches
Squad Total,,,26.8,38,25527,23768,1759,412,65,2960,732,571,255,53,131,17,18588,3048,3891,6175,17159,740,804,283,21527,60,266,486,563,
Opponent Total,,,26.6,38,15476,13861,1615,438,63,2606,486,351,122,64,33,8,9364,2148,3964,4159,9212,747,609,243,11661,87,345,368,419,
