Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2020-09-12,17:30,Matchweek 1,Sat,Home,W,4,3,Leeds United,3.3,0.6,50,,Jordan Henderson,4-3-2003,Michael Oliver,Match Report,
2020-09-20,16:30,Matchweek 2,Sun,Away,W,2,0,Chelsea,2.6,1,61,,Jordan Henderson,4-3-2003,Paul Tierney,Match Report,
2020-09-28,20:00,Matchweek 3,Mon,Home,W,3,1,Arsenal,3.2,1.2,67,,Virgil van Dijk,4-3-2003,Craig Pawson,Match Report,
2020-10-04,19:15,Matchweek 4,Sun,Away,L,2,7,Aston Villa,1.8,3.9,69,,Virgil van Dijk,4-3-2003,Martin Atkinson,Match Report,
2020-10-17,12:30,Matchweek 5,Sat,Away,D,2,2,Everton,2.2,1.3,57,,Jordan Henderson,4-3-2003,Michael Oliver,Match Report,
2020-10-24,20:00,Matchweek 6,Sat,Home,W,2,1,Sheffield Utd,2.5,1.5,61,,Jordan Henderson,4-2-3-1,Mike Dean,Match Report,
2020-10-31,17:30,Matchweek 7,Sat,Home,W,2,1,West Ham,1.8,0.5,73,,Jordan Henderson,4-3-2003,Kevin Friend,Match Report,
2020-11-08,16:30,Matchweek 8,Sun,Away,D,1,1,Manchester City,1.4,1.6,46,,Jordan Henderson,4-2-3-1,Craig Pawson,Match Report,
2020-11-22,19:15,Matchweek 9,Sun,Home,W,3,0,Leicester City,3.7,1.3,56,,James Milner,4-3-2003,Chris Kavanagh,Match Report,
2020-11-28,12:30,Matchweek 10,Sat,Away,D,1,1,Brighton,0.5,2.1,60,,James Milner,4-3-2003,Stuart Attwell,Match Report,
2020-12-06,19:15,Matchweek 11,Sun,Home,W,4,0,Wolves,1.2,0.5,61,2000,Jordan Henderson,4-3-2003,Craig Pawson,Match Report,
2020-12-13,16:30,Matchweek 12,Sun,Away,D,1,1,Fulham,2.1,1.5,74,2000,Jordan Henderson,4-3-2003,Andre Marriner,Match Report,
2020-12-16,20:00,Matchweek 13,Wed,Home,W,2,1,Tottenham,1.2,1.3,75,2000,Jordan Henderson,4-3-2003,Anthony Taylor,Match Report,
2020-12-19,12:30,Matchweek 14,Sat,Away,W,7,0,Crystal Palace,2.1,0.3,64,,Jordan Henderson,4-3-2003,Jonathan Moss,Match Report,
2020-12-27,16:30,Matchweek 15,Sun,Home,D,1,1,West Brom,1.6,0.5,77,2000,Jordan Henderson,4-3-2003,Kevin Friend,Match Report,
2020-12-30,20:00,Matchweek 16,Wed,Away,D,0,0,Newcastle Utd,1.1,0.3,72,,Jordan Henderson,4-3-2003,Paul Tierney,Match Report,
2021-01-04,20:00,Matchweek 17,Mon,Away,L,0,1,Southampton,1.1,0.6,67,,Jordan Henderson,4-3-2003,Andre Marriner,Match Report,
2021-01-17,16:30,Matchweek 19,Sun,Home,D,0,0,Manchester Utd,1.7,0.9,66,,Jordan Henderson,4-3-2003,Paul Tierney,Match Report,
2021-01-21,20:00,Matchweek 18,Thu,Home,L,0,1,Burnley,2.3,1.4,72,,Georginio Wijnaldum,4-3-2003,Mike Dean,Match Report,
2021-01-28,20:00,Matchweek 20,Thu,Away,W,3,1,Tottenham,2.1,0.2,50,,Jordan Henderson,4-3-2003,Martin Atkinson,Match Report,
2021-01-31,16:30,Matchweek 21,Sun,Away,W,3,1,West Ham,1.9,1,67,,Jordan Henderson,4-4-2◆,Jonathan Moss,Match Report,
2021-02-03,20:15,Matchweek 22,Wed,Home,L,0,1,Brighton,0.7,1.1,63,,Jordan Henderson,4-3-2003,Kevin Friend,Match Report,
2021-02-07,16:30,Matchweek 23,Sun,Home,L,1,4,Manchester City,1.3,3.1,56,,Jordan Henderson,4-3-2003,Michael Oliver,Match Report,
