Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-02-13,12:30,Matchweek 24,Sat,Away,L,1,3,Leicester City,1.8,2.6,62,,Jordan Henderson,4-3-2003,Anthony Taylor,Match Report,
2021-02-20,17:30,Matchweek 25,Sat,Home,L,0,2,Everton,1.7,1.5,71,,Jordan Henderson,4-3-2003,Chris Kavanagh,Match Report,
2021-02-28,19:15,Matchweek 26,Sun,Away,W,2,0,Sheffield Utd,2.9,0.6,60,,Georginio Wijnaldum,4-3-2003,Jonathan Moss,Match Report,
2021-03-04,20:15,Matchweek 29,Thu,Home,L,0,1,Chelsea,0.3,1,55,,Georginio Wijnaldum,4-3-2003,Martin Atkinson,Match Report,
2021-03-07,14:00,Matchweek 27,Sun,Home,L,0,1,Fulham,1,1.1,64,,James Milner,4-3-2003,Kevin Friend,Match Report,
2021-03-15,20:00,Matchweek 28,Mon,Away,W,1,0,Wolves,1.1,0.8,46,,Georginio Wijnaldum,4-3-2003,Craig Pawson,Match Report,
2021-04-03,20:00,Matchweek 30,Sat,Away,W,3,0,Arsenal,2.2,0.3,64,,James Milner,4-3-2003,Stuart Attwell,Match Report,
2021-04-10,15:00,Matchweek 31,Sat,Home,W,2,1,Aston Villa,2.5,1,65,,James Milner,4-3-2003,Paul Tierney,Match Report,
2021-04-19,20:00,Matchweek 32,Mon,Away,D,1,1,Leeds United,2.3,1.8,40,,James Milner,4-3-2003,Anthony Taylor,Match Report,
2021-04-24,12:30,Matchweek 33,Sat,Home,D,1,1,Newcastle Utd,1.9,1.2,69,,Georginio Wijnaldum,4-4-2002,Andre Marriner,Match Report,
2021-05-08,20:15,Matchweek 35,Sat,Home,W,2,0,Southampton,2.2,1.3,54,,Georginio Wijnaldum,4-3-2003,Kevin Friend,Match Report,
2021-05-13,20:15,Matchweek 34,Thu,Away,W,4,2,Manchester Utd,2.6,2,47,,Georginio Wijnaldum,4-3-2003,Anthony Taylor,Match Report,
2021-05-16,16:30,Matchweek 36,Sun,Away,W,2,1,West Brom,2.4,0.8,76,,Roberto Firmino,4-3-2003,Mike Dean,Match Report,
2021-05-19,20:15,Matchweek 37,Wed,Away,W,3,0,Burnley,2.9,0.7,58,3387,Georginio Wijnaldum,4-3-2003,Chris Kavanagh,Match Report,
2021-05-23,16:00,Matchweek 38,Sun,Home,W,2,0,Crystal Palace,1.8,0.7,69,9901,Georginio Wijnaldum,4-3-2003,Craig Pawson,Match Report,
