Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Alisson\7a2e46a8,br BRA,GK,27,33,33,2970,33,32,0.97,111,82,74.8,18,8,7,10,30.3,8,4,1,3,20,Matches
Adrián\f76e6b4e,es ESP,GK,33,3,3,270,3,9,3,19,10,52.6,1,1,1,1,33.3,0,0,0,0,,Matches
Caoimhín Kelleher\62d7ef38,ie IRL,GK,21,2,2,180,2,1,0.5,7,6,85.7,1,0,1,1,50,0,0,0,0,,Matches
Squad Total,,,26.8,38,38,3420,38,42,1.11,137,98,72.3,20,9,9,12,31.6,8,4,1,3,20,
Opponent Total,,,26.6,38,38,3420,38,68,1.79,201,141,69.2,9,9,20,8,21.1,6,6,0,0,0,
