Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,26,37.6,53,28,30,16,7,31,64,48.4,33,353,120,34,117,127,109,62,10,1,52,34,87,91,1,Matches
Mohamed Salah\e342ad68,eg EGY,FW,28,34.2,26,13,6,7,13,6,16,37.5,10,553,153,27.7,45,165,343,14,1,0,13,9,35,11,1,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,21,33.7,58,36,29,21,8,33,57,57.9,24,328,115,35.1,124,113,91,44,4,0,40,49,107,71,2,Matches
Georginio Wijnaldum\eb58eef0,nl NED,MF,29,32.7,30,24,9,16,5,9,34,26.5,25,425,154,36.2,122,215,88,37,3,0,34,25,55,24,1,Matches
Alisson\7a2e46a8,br BRA,GK,27,33,0,0,0,0,0,0,1,0,1,5,1,20,5,0,0,0,0,0,0,0,0,1,7,Matches
Roberto Firmino\4c370d81,br BRA,FW,28,31.5,35,22,4,14,17,12,38,31.6,26,596,175,29.4,73,279,244,58,5,0,53,10,45,11,0,Matches
Sadio Mané\c691bfe2,sn SEN,FW,28,31.2,42,32,8,18,16,9,26,34.6,17,467,158,33.8,65,167,235,39,2,0,37,15,57,7,0,Matches
Fabinho\7f3b388c,br BRA,DFMF,26,28.5,72,51,25,40,7,25,56,44.6,31,351,115,32.8,120,200,31,41,12,0,29,49,121,106,0,Matches
Thiago Alcántara\77e84962,es ESP,MF,29,20.6,68,43,27,29,12,19,50,38,31,462,135,29.2,120,232,110,28,1,0,27,42,110,21,0,Matches
Jordan Henderson\935e6b8f,eng ENG,MFDF,30,18.9,19,9,8,7,4,8,29,27.6,21,185,60,32.4,60,86,39,28,4,1,24,30,49,43,1,Matches
Nathaniel Phillips\515ebe8d,eng ENG,DF,23,16.2,18,12,13,5,0,4,23,17.4,19,193,69,35.8,89,96,8,23,16,2,7,29,47,143,0,Matches
Curtis Jones\4fb9c88f,eng ENG,MF,19,13.1,21,16,8,8,5,10,23,43.5,13,234,70,29.9,51,110,73,18,0,0,18,17,38,10,1,Matches
Diogo Jota\178ae8f8,pt POR,FW,23,12.4,14,10,4,7,3,5,35,14.3,30,296,75,25.3,59,105,132,12,1,0,11,8,22,4,0,Matches
James Milner\2f90f6b8,eng ENG,MFDF,34,11.9,26,14,8,16,2,10,36,27.8,26,209,69,33,52,121,36,39,4,0,35,16,42,21,1,Matches
Ozan Kabak\2d61d13a,tr TUR,DF,20,8.9,19,10,12,4,3,2,7,28.6,5,103,41,39.8,58,40,5,5,3,0,2,12,31,49,1,Matches
Joël Matip\b217ef29,cm CMR,DF,28,7.7,15,11,11,4,0,5,8,62.5,3,58,24,41.4,35,20,3,7,0,0,7,4,19,28,0,Matches
Rhys Williams\012c975a,eng ENG,DF,19,7.3,6,2,2,4,0,1,2,50,1,54,15,27.8,29,21,4,5,4,0,1,8,14,67,1,Matches
Naby Keïta\f25c8e3a,gn GUI,MF,25,5.8,7,5,4,2,1,2,18,11.1,16,144,37,25.7,18,75,51,11,0,0,11,12,19,6,0,Matches
Joe Gomez\7a11550b,eng ENG,DF,23,6.6,5,2,2,3,0,0,4,0,4,39,15,38.5,24,13,2,7,3,0,4,5,10,32,2,Matches
Xherdan Shaqiri\6421ec64,ch SUI,MFFW,28,6.2,6,4,4,1,1,2,6,33.3,4,100,33,33,22,36,42,8,0,0,8,4,10,1,0,Matches
Virgil van Dijk\e06683ca,nl NED,DF,29,4.1,3,1,1,2,0,0,1,0,1,14,3,21.4,7,7,0,3,2,0,1,0,3,12,1,Matches
Adrián\f76e6b4e,es ESP,GK,33,3,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,Matches
Neco Williams\dd323728,wls WAL,DF,19,2.8,6,5,4,2,0,3,8,37.5,5,45,13,28.9,17,18,10,8,1,0,7,5,11,4,0,Matches
Takumi Minamino\f833a830,jp JPN,MFFW,25,3.3,4,3,1,2,1,0,12,0,12,82,25,30.5,19,41,22,0,0,0,0,0,4,3,0,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,FWMF,26,2.8,2,1,0,2,0,0,7,0,7,49,13,26.5,4,26,19,3,0,0,3,1,3,1,0,Matches
Divock Origi\43a166b4,be BEL,FW,25,2.1,5,4,1,3,1,1,1,100,0,44,16,36.4,3,14,27,4,1,0,3,1,6,2,0,Matches
Caoimhín Kelleher\62d7ef38,ie IRL,GK,21,2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
Kostas Tsimikas\f315ca93,gr GRE,DFFW,24,0.1,0,0,0,0,0,0,0,,0,4,3,75,0,2,2,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.8,38,560,358,221,233,106,197,562,35.1,365,5394,1707,31.6,1339,2329,1726,504,77,4,427,385,945,769,21,
Opponent Total,,,26.6,38,691,408,414,219,58,242,699,34.6,457,6031,1665,27.6,2509,2437,1085,744,189,3,555,510,1201,1225,22,
