Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Kaide Gordon\19a9cb70,eng ENG,FW,16,1,9,9,0.3,0.1,0,,0,1,9,3,3,0,0,0,0,-1.79,0.5,0.2,+0.3,+3.35,+1.91,Matches
Neco Williams\dd323728,wls WAL,DF,20,1,8,8,0.2,0.1,0,,0,1,8,12,3,1,0,+1,+11.25,+9.48,0.6,0.4,+0.2,+2.52,+1.07,Matches
Adrián\f76e6b4e,es ESP,GK,34,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Owen Beck\a011a1e9,wls WAL,DF,18,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Conor Bradley\bbd67769,nir NIR,DF,18,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Nathaniel Phillips\515ebe8d,eng ENG,DF,24,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Marcelo Pitaluga\b3cafda8,br BRA,GK,18,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Jarrell Quansah\4125cb98,eng ENG,DF,18,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Rhys Williams\012c975a,eng ENG,DF,20,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Ben Woodburn\8aadeaef,wls WAL,FWMF,21,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,27.7,38,3420,90,100,38,418,85,306,111,19,231,2.42,94,26,+68,+1.79,,89.2,34.2,+55.0,+1.45,,
Opponent Total,,,26.7,38,3420,90,100,38,418,84,311,107,23,235,2.42,26,94,-68,-1.79,,34.2,89.2,-55,-1.45,,
