Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Alisson\7a2e46a8,br BRA,GK,28,36,3240,90,94.7,36,36,90,36,0,,0,2.44,87,24,+63,+1.75,-0.75,84.3,32.5,+51.8,+1.44,-0.16,Matches
Virgil van Dijk\e06683ca,nl NED,DF,30,34,3060,90,89.5,34,34,90,34,0,,1,2.41,84,21,+63,+1.85,+0.60,80.6,29.4,+51.2,+1.51,+0.55,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,22,32,2853,89,83.4,31.7,32,89,30,0,,2,2.38,80,22,+58,+1.83,+0.24,75.5,30.4,+45.1,+1.42,-0.15,Matches
Sadio Mané\c691bfe2,sn SEN,FW,29,34,2819,83,82.4,31.3,32,87,25,2,18,0,2.35,76,24,+52,+1.66,-0.74,73.1,29.1,+44.0,+1.40,-0.24,Matches
Joël Matip\b217ef29,cm CMR,DF,29,31,2790,90,81.6,31,31,90,31,0,,4,2.48,76,21,+55,+1.77,-0.08,74,25.8,+48.2,+1.55,+0.58,Matches
Mohamed Salah\e342ad68,eg EGY,FW,29,35,2762,79,80.8,30.7,30,87,25,5,28,0,2.37,77,22,+55,+1.79,+0.01,74.7,28.4,+46.3,+1.51,+0.31,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,31,35,2597,74,75.9,28.9,29,83,18,6,30,0,2.43,73,22,+51,+1.77,-0.09,66.6,25.3,+41.3,+1.43,-0.07,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,27,29,2537,87,74.2,28.2,29,87,25,0,,4,2.41,71,20,+51,+1.81,+0.08,65.3,26.8,+38.5,+1.37,-0.32,Matches
Diogo Jota\178ae8f8,pt POR,FW,24,35,2364,68,69.1,26.3,27,80,10,8,25,1,2.37,58,19,+39,+1.48,-0.99,59.2,24.1,+35.1,+1.34,-0.36,Matches
Fabinho\7f3b388c,br BRA,MF,27,29,2314,80,67.7,25.7,26,86,21,3,27,1,2.38,62,18,+44,+1.71,-0.24,60.1,23.7,+36.4,+1.42,-0.1,Matches
Thiago Alcántara\77e84962,es ESP,MF,30,25,1534,61,44.9,17,17,80,5,8,22,1,2.64,42,7,+35,+2.05,+0.48,42.1,11.1,+31.0,+1.82,+0.67,Matches
Naby Keïta\f25c8e3a,gn GUI,MF,26,23,1173,51,34.3,13,14,74,4,9,16,6,2.43,30,6,+24,+1.84,+0.08,29.7,12.7,+17.0,+1.30,-0.22,Matches
Ibrahima Konaté\5ed9b537,fr FRA,DF,22,11,990,90,28.9,11,11,90,11,0,,26,2.27,28,10,+18,+1.64,-0.22,23.8,13.2,+10.7,+0.97,-0.67,Matches
Luis Díaz\4a1a9578,co COL,FW,24,13,958,74,28,10.6,11,82,4,2,26,3,2.69,25,4,+21,+1.97,+0.25,26.1,7.8,+18.4,+1.72,+0.38,Matches
Roberto Firmino\4c370d81,br BRA,FW,29,20,990,50,28.9,11,10,77,3,10,22,2,2.25,32,9,+23,+2.09,+0.42,24.4,10.5,+13.9,+1.26,-0.26,Matches
Curtis Jones\4fb9c88f,eng ENG,MF,20,15,851,57,24.9,9.5,10,77,4,5,16,10,2.47,26,9,+17,+1.80,+0.01,19.6,10,+9.6,+1.01,-0.58,Matches
Kostas Tsimikas\f315ca93,gr GRE,DF,25,13,877,67,25.6,9.7,9,90,8,4,17,23,2.15,23,6,+17,+1.74,-0.06,24,7.2,+16.8,+1.72,+0.37,Matches
James Milner\2f90f6b8,eng ENG,MFDF,35,24,853,36,24.9,9.5,9,77,4,15,11,8,2.63,27,6,+21,+2.22,+0.57,22.3,9.5,+12.7,+1.34,-0.14,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,27,17,785,46,23,8.7,9,64,0,8,26,12,2.41,15,7,+8,+0.92,-1.13,19,7.9,+11.1,+1.28,-0.22,Matches
Harvey Elliott\c8387671,eng ENG,MF,18,6,346,58,10.1,3.8,4,77,2,2,20,6,2.67,7,2,+5,+1.30,-0.54,11,3.4,+7.6,+1.99,+0.60,Matches
Joe Gomez\7a11550b,eng ENG,DF,24,8,331,41,9.7,3.7,4,79,3,4,4,21,2.5,7,3,+4,+1.09,-0.78,8.4,2,+6.4,+1.74,+0.32,Matches
Caoimhín Kelleher\62d7ef38,ie IRL,GK,22,2,180,90,5.3,2,2,90,2,0,,34,2,7,2,+5,+2.50,+0.75,5,1.8,+3.2,+1.60,+0.16,Matches
Takumi Minamino\f833a830,jp JPN,FWMF,26,11,186,17,5.4,2.1,1,90,1,10,10,15,2.55,6,1,+5,+2.42,+0.67,5.3,0.5,+4.8,+2.30,+0.90,Matches
Tyler Morton\2bc28bb9,eng ENG,MF,18,2,66,33,1.9,0.7,1,59,0,1,7,7,2,1,1,0,0,-1.82,0.7,2.7,-2,-2.74,-4.27,Matches
Divock Origi\43a166b4,be BEL,FW,26,7,133,19,3.9,1.5,0,,0,7,19,11,2.57,11,0,+11,+7.44,+5.88,5.7,0.2,+5.5,+3.71,+2.36,Matches
