Player,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
Alisson\7a2e46a8,br BRA,GK,28,36,0,0,0,0,0,0,2,0,2,6,3,50,6,0,0,1,0,0,1,0,0,1,2,Matches
Virgil van Dijk\e06683ca,nl NED,DF,30,34,21,12,13,7,1,11,15,73.3,4,124,44,35.5,72,45,7,31,16,1,15,47,68,135,1,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,22,31.7,44,24,22,15,7,23,59,39,36,288,97,33.7,114,88,86,39,5,1,34,76,120,43,1,Matches
Sadio Mané\c691bfe2,sn SEN,FW,29,31.3,33,18,7,13,13,8,25,32,17,452,143,31.6,57,193,202,36,4,0,32,15,48,10,0,Matches
Joël Matip\b217ef29,cm CMR,DF,29,31,48,36,24,18,6,17,29,58.6,12,210,89,42.4,117,74,19,38,17,1,21,66,114,121,1,Matches
Mohamed Salah\e342ad68,eg EGY,FW,29,30.7,17,7,5,7,5,4,21,19,17,448,127,28.3,67,127,254,13,1,0,12,15,32,4,0,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,31,28.9,37,24,7,26,4,16,47,34,31,467,146,31.3,99,257,111,31,3,0,28,43,80,17,0,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,27,28.2,33,17,14,14,5,14,34,41.2,20,284,86,30.3,85,115,84,43,4,1,39,49,82,58,0,Matches
Diogo Jota\178ae8f8,pt POR,FW,24,26.3,36,21,14,15,7,10,47,21.3,37,589,164,27.8,98,237,254,19,3,0,16,17,53,6,0,Matches
Fabinho\7f3b388c,br BRA,MF,27,25.7,57,37,17,33,7,19,62,30.6,43,413,131,31.7,126,225,62,51,10,0,41,56,113,30,0,Matches
Thiago Alcántara\77e84962,es ESP,MF,30,17,58,40,17,31,10,12,40,30,28,319,117,36.7,86,163,70,26,2,0,24,35,93,18,2,Matches
Naby Keïta\f25c8e3a,gn GUI,MF,26,13,47,28,19,19,9,18,35,51.4,17,321,107,33.3,74,161,86,24,2,0,22,20,67,4,0,Matches
Ibrahima Konaté\5ed9b537,fr FRA,DF,22,11,14,8,6,7,1,3,7,42.9,4,86,23,26.7,44,36,6,15,10,1,5,28,42,47,0,Matches
Luis Díaz\4a1a9578,co COL,FW,24,10.6,12,10,4,4,4,3,10,30,7,163,59,36.2,26,64,73,9,1,0,8,4,16,2,0,Matches
Roberto Firmino\4c370d81,br BRA,FW,29,11,34,21,5,17,12,4,15,26.7,11,249,85,34.1,32,114,103,20,0,0,20,4,38,3,0,Matches
Curtis Jones\4fb9c88f,eng ENG,MF,20,9.5,12,9,3,8,1,2,9,22.2,7,212,61,28.8,37,116,59,5,0,0,5,10,22,2,0,Matches
Kostas Tsimikas\f315ca93,gr GRE,DF,25,9.7,20,10,9,6,5,6,16,37.5,10,137,47,34.3,53,45,39,15,2,0,13,14,34,22,0,Matches
James Milner\2f90f6b8,eng ENG,MFDF,35,9.5,35,23,15,15,5,15,35,42.9,20,172,68,39.5,37,93,42,20,6,0,14,22,57,22,0,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,27,8.7,17,14,3,7,7,5,13,38.5,8,172,63,36.6,26,76,70,11,3,0,8,8,25,7,0,Matches
Harvey Elliott\c8387671,eng ENG,MF,18,3.8,3,1,1,0,2,1,7,14.3,6,94,21,22.3,21,50,23,9,1,0,8,3,6,4,0,Matches
Joe Gomez\7a11550b,eng ENG,DF,24,3.7,7,4,5,0,2,2,6,33.3,4,42,16,38.1,18,16,8,3,1,0,2,12,19,8,0,Matches
Caoimhín Kelleher\62d7ef38,ie IRL,GK,22,2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
Takumi Minamino\f833a830,jp JPN,FWMF,26,2.1,3,2,1,1,1,2,11,18.2,9,64,22,34.4,4,34,26,1,0,0,1,3,6,1,0,Matches
Tyler Morton\2bc28bb9,eng ENG,MF,18,0.7,0,0,0,0,0,0,2,0,2,12,4,33.3,1,9,2,0,0,0,0,2,2,0,0,Matches
Divock Origi\43a166b4,be BEL,FW,26,1.5,0,0,0,0,0,0,3,0,3,29,5,17.2,2,16,11,2,0,0,2,3,3,1,0,Matches
Kaide Gordon\19a9cb70,eng ENG,FW,16,0.1,1,0,0,0,1,1,1,100,0,6,3,50,0,1,5,0,0,0,0,0,1,0,0,Matches
Neco Williams\dd323728,wls WAL,DF,20,0.1,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,27.7,38,589,366,211,263,115,196,551,35.6,355,5360,1731,32.3,1303,2355,1702,462,91,5,371,552,1141,566,7,
Opponent Total,,,26.7,38,699,413,437,214,48,253,645,39.2,392,6138,1761,28.7,2504,2512,1122,783,234,12,549,735,1434,1001,12,
