Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
Alisson\7a2e46a8,br BRA,GK,28,36,36,3240,36,24,0.67,97,73,75.3,27,7,2,20,55.6,0,0,0,0,,Matches
Caoimhín Kelleher\62d7ef38,ie IRL,GK,22,2,2,180,2,2,1,8,5,75,1,1,0,1,50,0,0,0,0,,Matches
Squad Total,,,27.7,38,38,3420,38,26,0.68,105,78,75.2,28,8,2,21,55.3,0,0,0,0,,
Opponent Total,,,26.7,38,38,3420,38,94,2.47,237,149,63.3,2,8,28,1,2.6,9,7,1,1,12.5,
