Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks,Matches
Alisson\7a2e46a8,br BRA,GK,28,36,1360,1127,233,62,2,96,37,0,0,0,0,0,969,68,323,100,1030,3,0,195,1178,0,18,19,0,Matches
Virgil van Dijk\e06683ca,nl NED,DF,30,34,2520,2449,71,64,0,217,89,0,0,0,0,0,1977,185,358,370,1906,138,7,11,2287,2,23,24,10,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,22,31.7,2706,2155,551,90,20,237,199,127,131,28,89,2,1403,476,827,279,2018,60,330,6,2013,6,38,102,77,Matches
Sadio Mané\c691bfe2,sn SEN,FW,29,31.3,1091,1078,13,2,4,233,17,51,0,0,0,0,814,160,117,266,763,23,9,13,819,6,28,77,54,Matches
Joël Matip\b217ef29,cm CMR,DF,29,31,2238,2182,56,40,2,237,39,0,0,0,0,0,1735,213,290,286,1724,136,16,11,2015,3,21,32,15,Matches
Mohamed Salah\e342ad68,eg EGY,FW,29,30.7,1118,1108,10,0,16,198,14,51,1,1,0,0,862,139,117,908,161,24,6,11,869,6,16,59,50,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,31,28.9,2202,2131,71,22,7,301,47,48,3,0,2,0,1551,267,384,291,1790,66,23,11,1846,6,22,67,49,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,27,28.2,2294,1942,352,52,2,165,69,89,80,8,67,0,1525,359,410,1842,137,68,220,3,1859,7,24,58,66,Matches
Diogo Jota\178ae8f8,pt POR,FW,24,26.3,771,764,7,0,7,156,7,16,0,0,0,0,567,122,82,214,495,33,1,9,568,5,12,36,43,Matches
Fabinho\7f3b388c,br BRA,MF,27,25.7,1522,1489,33,32,1,229,18,6,0,0,0,0,1139,164,219,115,1291,76,1,6,1341,2,16,24,21,Matches
Thiago Alcántara\77e84962,es ESP,MF,30,17,1479,1460,19,12,3,216,63,2,1,0,1,0,1139,138,202,97,1308,35,3,5,1325,2,15,42,23,Matches
Naby Keïta\f25c8e3a,gn GUI,MF,26,13,759,743,16,2,1,117,3,7,0,0,0,0,614,75,70,100,621,19,4,8,651,2,8,27,11,Matches
Ibrahima Konaté\5ed9b537,fr FRA,DF,22,11,728,718,10,8,1,68,10,0,0,0,0,0,589,54,85,37,623,42,2,4,655,1,4,9,5,Matches
Luis Díaz\4a1a9578,co COL,FW,24,10.6,448,447,1,0,2,75,7,22,0,0,0,0,366,44,38,62,360,14,1,5,394,0,2,18,7,Matches
Roberto Firmino\4c370d81,br BRA,FW,29,11,501,485,16,1,2,118,9,8,0,0,0,0,392,65,44,50,417,15,7,2,393,0,4,30,24,Matches
Curtis Jones\4fb9c88f,eng ENG,MF,20,9.5,591,574,17,6,0,90,13,2,4,0,2,0,514,33,44,67,501,12,5,0,534,1,3,11,10,Matches
Kostas Tsimikas\f315ca93,gr GRE,DF,25,9.7,698,565,133,12,0,65,35,57,44,7,32,3,392,137,169,483,113,20,77,0,512,1,5,27,33,Matches
James Milner\2f90f6b8,eng ENG,MFDF,35,9.5,749,691,58,16,2,83,20,20,13,0,10,0,532,108,109,59,623,26,29,2,623,2,9,20,19,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,27,8.7,403,393,10,3,0,63,9,22,2,1,1,0,295,43,65,35,349,12,1,3,318,1,6,8,18,Matches
Harvey Elliott\c8387671,eng ENG,MF,18,3.8,249,241,8,0,0,23,3,7,2,1,0,0,189,30,30,220,21,3,3,2,210,2,0,7,10,Matches
Joe Gomez\7a11550b,eng ENG,DF,24,3.7,286,248,38,6,0,36,15,17,0,0,0,0,194,41,51,18,213,13,32,0,228,2,6,12,4,Matches
Caoimhín Kelleher\62d7ef38,ie IRL,GK,22,2,90,70,20,7,0,14,0,0,0,0,0,0,73,5,12,25,53,0,0,12,81,0,1,1,0,Matches
Takumi Minamino\f833a830,jp JPN,FWMF,26,2.1,75,75,0,0,1,15,1,0,0,0,0,0,61,9,5,13,58,1,0,1,63,1,1,2,1,Matches
Tyler Morton\2bc28bb9,eng ENG,MF,18,0.7,37,37,0,0,0,7,3,0,0,0,0,0,25,3,9,0,32,2,0,0,32,0,0,1,1,Matches
Divock Origi\43a166b4,be BEL,FW,26,1.5,37,37,0,0,0,11,1,1,0,0,0,0,30,5,2,1,34,0,0,0,30,0,0,2,1,Matches
Kaide Gordon\19a9cb70,eng ENG,FW,16,0.1,4,4,0,0,0,1,0,0,0,0,0,0,4,0,0,4,0,0,0,0,4,0,0,0,0,Matches
Neco Williams\dd323728,wls WAL,DF,20,0.1,8,7,1,0,0,2,0,1,0,0,0,0,6,2,0,0,7,0,1,0,8,0,0,0,0,Matches
Squad Total,,,27.7,38,24964,23220,1744,437,73,3073,728,554,281,46,204,5,17957,2945,4062,5942,16648,841,778,320,20856,58,282,715,552,
Opponent Total,,,26.7,38,14783,13099,1684,409,45,2482,407,309,117,69,37,1,8833,2048,3902,4160,8487,765,675,249,10885,134,318,535,368,
