Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
Alisson\7a2e46a8,br BRA,GK,28,36,1462,1097,1450,15,0,0,1230,2,3,66.7,2,0,833,2944,1615,0,0,0,1,0,835,829,99.3,0,Matches
Virgil van Dijk\e06683ca,nl NED,DF,30,34,2802,327,1316,1511,88,53,2731,3,4,75,3,0,1813,6903,3629,99,6,0,7,5,2063,2027,98.3,8,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,22,31.7,3009,77,604,1411,1129,89,2459,26,44,59.1,26,0,1723,6044,3315,156,66,11,24,26,2017,1879,93.2,123,Matches
Sadio Mané\c691bfe2,sn SEN,FW,29,31.3,1556,19,113,694,870,250,1544,49,82,59.8,52,9,1188,6608,3397,199,59,54,98,72,1880,1240,66,356,Matches
Joël Matip\b217ef29,cm CMR,DF,29,31,2549,253,1060,1537,186,59,2496,13,14,92.9,13,0,1609,10768,7547,275,75,4,8,7,1824,1778,97.5,8,Matches
Mohamed Salah\e342ad68,eg EGY,FW,29,30.7,1583,6,70,496,1110,333,1568,57,136,41.9,70,2,1231,5374,3288,213,39,71,79,84,1976,1310,66.3,367,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,31,28.9,2403,45,316,1475,752,48,2332,17,26,65.4,18,3,1587,7063,3187,130,59,4,19,13,1999,1846,92.3,115,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,27,28.2,2536,83,548,1237,905,93,2188,16,32,50,19,2,1613,7311,4585,205,70,10,17,19,1871,1719,91.9,115,Matches
Diogo Jota\178ae8f8,pt POR,FW,24,26.3,1129,15,103,483,624,190,1122,32,73,43.8,40,9,798,3994,2485,138,38,29,58,48,1372,865,63,227,Matches
Fabinho\7f3b388c,br BRA,MF,27,25.7,1786,49,378,1157,331,21,1751,8,11,72.7,8,0,1132,4499,2154,106,23,3,24,16,1256,1208,96.2,36,Matches
Thiago Alcántara\77e84962,es ESP,MF,30,17,1666,37,262,1113,395,26,1650,15,24,62.5,15,0,1238,5540,2957,163,47,4,10,14,1317,1264,96,48,Matches
Naby Keïta\f25c8e3a,gn GUI,MF,26,13,930,14,136,532,317,39,914,15,25,60,16,1,650,3079,1814,92,27,10,23,10,758,669,88.3,36,Matches
Ibrahima Konaté\5ed9b537,fr FRA,DF,22,11,830,81,365,487,21,6,821,3,3,100,3,0,555,2786,1647,46,3,0,2,2,578,569,98.4,2,Matches
Luis Díaz\4a1a9578,co COL,FW,24,10.6,595,3,34,235,365,87,594,32,48,66.7,34,0,499,2775,1533,91,16,23,24,30,618,475,76.9,110,Matches
Roberto Firmino\4c370d81,br BRA,FW,29,11,669,4,52,333,328,74,653,17,32,53.1,19,2,452,2031,1050,71,29,4,30,26,690,506,73.3,142,Matches
Curtis Jones\4fb9c88f,eng ENG,MF,20,9.5,694,11,84,419,243,16,681,18,28,64.3,18,1,562,3090,1490,82,23,5,14,21,616,563,91.4,43,Matches
Kostas Tsimikas\f315ca93,gr GRE,DF,25,9.7,798,36,180,317,365,34,667,9,15,60,9,2,499,2915,1713,99,39,7,4,10,530,487,91.9,57,Matches
James Milner\2f90f6b8,eng ENG,MFDF,35,9.5,875,44,185,451,272,11,822,3,5,60,3,0,539,1926,1005,42,15,1,9,10,645,599,92.9,31,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,27,8.7,503,6,50,259,245,33,493,10,15,66.7,13,0,366,2088,1234,65,33,5,9,18,465,371,79.8,54,Matches
Harvey Elliott\c8387671,eng ENG,MF,18,3.8,301,1,25,140,159,22,293,2,7,28.6,2,0,220,1126,672,38,15,2,8,2,245,226,92.2,33,Matches
Joe Gomez\7a11550b,eng ENG,DF,24,3.7,325,5,60,165,119,7,287,4,7,57.1,4,0,216,812,398,21,8,2,3,5,211,204,96.7,12,Matches
Caoimhín Kelleher\62d7ef38,ie IRL,GK,22,2,94,72,94,0,0,0,75,0,0,,0,0,53,160,93,0,0,0,0,0,54,54,100,0,Matches
Takumi Minamino\f833a830,jp JPN,FWMF,26,2.1,101,2,10,38,55,12,101,1,6,16.7,1,0,77,299,145,10,0,1,2,2,116,83,71.6,22,Matches
Tyler Morton\2bc28bb9,eng ENG,MF,18,0.7,39,0,3,33,5,0,39,0,0,,0,0,27,91,36,2,0,0,0,0,23,21,91.3,0,Matches
Divock Origi\43a166b4,be BEL,FW,26,1.5,68,2,6,21,42,17,68,1,3,33.3,2,0,46,142,65,4,1,1,9,5,66,50,75.8,17,Matches
Kaide Gordon\19a9cb70,eng ENG,FW,16,0.1,8,0,0,4,4,1,8,0,1,0,0,1,7,32,9,1,0,0,0,1,11,7,63.6,3,Matches
Neco Williams\dd323728,wls WAL,DF,20,0.1,8,0,2,2,4,1,7,2,2,100,2,0,8,34,22,2,0,1,0,0,7,7,100,2,Matches
Squad Total,,,27.7,38,29319,2289,7506,14565,8934,1522,27594,355,646,55,392,32,19541,90434,51085,2350,691,252,482,446,24043,20856,86.7,1967,
Opponent Total,,,26.7,38,19573,3514,8893,7864,3742,608,17918,325,555,58.6,355,27,10981,52053,27306,912,254,123,488,394,13832,10885,78.7,777,
