Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
Alisson\7a2e46a8,br BRA,GK,28,36,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
Virgil van Dijk\e06683ca,nl NED,DF,30,34,3,35,13,37.1,1.03,0.38,0.09,0.23,11.8,1,0,0,2.4,2.4,0.07,+0.6,+0.6,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,22,31.7,2,51,14,27.5,1.61,0.44,0.04,0.14,23,5,0,0,2.7,2.7,0.05,-0.7,-0.7,Matches
Sadio Mané\c691bfe2,sn SEN,FW,29,31.3,16,99,37,37.4,3.16,1.18,0.16,0.43,13.3,0,0,0,16.7,16.7,0.17,-0.7,-0.7,Matches
Joël Matip\b217ef29,cm CMR,DF,29,31,3,34,7,20.6,1.1,0.23,0.09,0.43,8.7,0,0,0,3.1,3.1,0.09,-0.1,-0.1,Matches
Mohamed Salah\e342ad68,eg EGY,FW,29,30.7,23,134,49,36.6,4.37,1.6,0.13,0.37,15.5,1,5,6,21.8,17,0.13,+1.2,+1.0,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,31,28.9,2,31,6,19.4,1.07,0.21,0.06,0.33,23,1,0,0,1.5,1.5,0.05,+0.5,+0.5,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,27,28.2,3,18,8,44.4,0.64,0.28,0.17,0.38,17.2,0,0,0,1.9,1.9,0.1,+1.1,+1.1,Matches
Diogo Jota\178ae8f8,pt POR,FW,24,26.3,15,91,33,36.3,3.46,1.26,0.16,0.45,11.8,0,0,0,16.1,16.1,0.18,-1.1,-1.1,Matches
Fabinho\7f3b388c,br BRA,MF,27,25.7,5,19,7,36.8,0.74,0.27,0.16,0.43,18.8,1,2,2,3.4,1.9,0.11,+1.6,+1.1,Matches
Thiago Alcántara\77e84962,es ESP,MF,30,17,1,25,6,24,1.47,0.35,0.04,0.17,18.2,0,0,0,1.8,1.8,0.08,-0.8,-0.8,Matches
Naby Keïta\f25c8e3a,gn GUI,MF,26,13,3,26,7,26.9,1.99,0.54,0.12,0.43,21.3,0,0,0,2.3,2.3,0.09,+0.7,+0.7,Matches
Ibrahima Konaté\5ed9b537,fr FRA,DF,22,11,0,4,0,0,0.36,0,0,,9,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
Luis Díaz\4a1a9578,co COL,FW,24,10.6,4,38,14,36.8,3.57,1.32,0.11,0.29,16,0,0,0,4.5,4.5,0.12,-0.5,-0.5,Matches
Roberto Firmino\4c370d81,br BRA,FW,29,11,5,30,11,36.7,2.73,1,0.17,0.45,15.1,0,0,0,5,5,0.17,0,0,Matches
Curtis Jones\4fb9c88f,eng ENG,MF,20,9.5,1,19,7,36.8,2.01,0.74,0.05,0.14,22.1,0,0,0,0.9,0.9,0.05,+0.1,+0.1,Matches
Kostas Tsimikas\f315ca93,gr GRE,DF,25,9.7,0,8,2,25,0.82,0.21,0,0,17.1,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
James Milner\2f90f6b8,eng ENG,MFDF,35,9.5,0,10,2,20,1.06,0.21,0,0,22.8,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,27,8.7,2,21,3,14.3,2.41,0.34,0.1,0.67,20.3,0,0,0,1.2,1.2,0.06,+0.8,+0.8,Matches
Harvey Elliott\c8387671,eng ENG,MF,18,3.8,0,10,1,10,2.6,0.26,0,0,17.2,0,0,0,0.9,0.9,0.09,-0.9,-0.9,Matches
Joe Gomez\7a11550b,eng ENG,DF,24,3.7,0,1,0,0,0.27,0,0,,29.1,0,0,0,0,0,0.01,0,0,Matches
Caoimhín Kelleher\62d7ef38,ie IRL,GK,22,2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
Takumi Minamino\f833a830,jp JPN,FWMF,26,2.1,3,7,4,57.1,3.39,1.94,0.43,0.75,13.5,0,0,0,1.8,1.8,0.26,+1.2,+1.2,Matches
Tyler Morton\2bc28bb9,eng ENG,MF,18,0.7,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
Divock Origi\43a166b4,be BEL,FW,26,1.5,3,10,5,50,6.77,3.38,0.3,0.6,13.9,0,0,0,1.6,1.6,0.16,+1.4,+1.4,Matches
Kaide Gordon\19a9cb70,eng ENG,FW,16,0.1,0,1,1,100,10,10,0,0,19,0,0,0,0.4,0.4,0.45,-0.4,-0.4,Matches
Neco Williams\dd323728,wls WAL,DF,20,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
Squad Total,,,27.7,38,94,722,237,32.8,19,6.24,0.12,0.37,15.9,9,7,8,89.2,83.5,0.12,+4.8,+3.5,
Opponent Total,,,26.7,38,25,302,105,34.8,7.95,2.76,0.08,0.24,16.6,13,0,0,34.2,34.2,0.12,-9.2,-9.2,
