Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Alisson\7a2e46a8,br BRA,GK,28,36,36,3240,36,0,1,0,0,0,0,0,0,0.03,0.03,0,0.03,0,0,0.4,0.4,0,0.01,0.01,0,0.01,Matches
Virgil van Dijk\e06683ca,nl NED,DF,30,34,34,3060,34,3,1,3,0,0,3,0,0.09,0.03,0.12,0.09,0.12,2.4,2.4,0.4,2.8,0.07,0.01,0.08,0.07,0.08,Matches
Trent Alexander-Arnold\cd1acf9d,eng ENG,DF,22,32,32,2853,31.7,2,12,2,0,0,2,0,0.06,0.38,0.44,0.06,0.44,2.7,2.7,11.2,13.9,0.08,0.35,0.44,0.08,0.44,Matches
Sadio Mané\c691bfe2,sn SEN,FW,29,34,32,2819,31.3,16,2,16,0,0,5,0,0.51,0.06,0.57,0.51,0.57,16.7,16.7,4.4,21.1,0.53,0.14,0.67,0.53,0.67,Matches
Joël Matip\b217ef29,cm CMR,DF,29,31,31,2790,31,3,3,3,0,0,2,0,0.1,0.1,0.19,0.1,0.19,3.1,3.1,1.2,4.3,0.1,0.04,0.14,0.1,0.14,Matches
Mohamed Salah\e342ad68,eg EGY,FW,29,35,30,2762,30.7,23,13,18,5,6,1,0,0.75,0.42,1.17,0.59,1.01,21.8,17,10.4,27.4,0.71,0.34,1.05,0.55,0.89,Matches
Jordan Henderson\935e6b8f,eng ENG,MF,31,35,29,2597,28.9,2,5,2,0,0,3,0,0.07,0.17,0.24,0.07,0.24,1.5,1.5,3.8,5.3,0.05,0.13,0.18,0.05,0.18,Matches
Andrew Robertson\2e4f5f03,sct SCO,DF,27,29,29,2537,28.2,3,10,3,0,0,5,1,0.11,0.35,0.46,0.11,0.46,1.9,1.9,5.2,7,0.07,0.18,0.25,0.07,0.25,Matches
Diogo Jota\178ae8f8,pt POR,FW,24,35,27,2364,26.3,15,4,15,0,0,3,0,0.57,0.15,0.72,0.57,0.72,16.1,16.1,5.5,21.6,0.61,0.21,0.82,0.61,0.82,Matches
Fabinho\7f3b388c,br BRA,MF,27,29,26,2314,25.7,5,1,3,2,2,7,0,0.19,0.04,0.23,0.12,0.16,3.4,1.9,1.4,3.3,0.13,0.05,0.19,0.07,0.13,Matches
Thiago Alcántara\77e84962,es ESP,MF,30,25,17,1534,17,1,4,1,0,0,2,0,0.06,0.23,0.29,0.06,0.29,1.8,1.8,2.3,4.2,0.11,0.14,0.25,0.11,0.25,Matches
Naby Keïta\f25c8e3a,gn GUI,MF,26,23,14,1173,13,3,1,3,0,0,3,0,0.23,0.08,0.31,0.23,0.31,2.3,2.3,1.6,3.9,0.18,0.12,0.3,0.18,0.3,Matches
Ibrahima Konaté\5ed9b537,fr FRA,DF,22,11,11,990,11,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.02,0.01,0.03,0.02,0.03,Matches
Luis Díaz\4a1a9578,co COL,FW,24,13,11,958,10.6,4,3,4,0,0,0,0,0.38,0.28,0.66,0.38,0.66,4.5,4.5,1.8,6.3,0.42,0.17,0.59,0.42,0.59,Matches
Roberto Firmino\4c370d81,br BRA,FW,29,20,10,990,11,5,4,5,0,0,3,0,0.45,0.36,0.82,0.45,0.82,5,5,2.4,7.4,0.46,0.22,0.67,0.46,0.67,Matches
Curtis Jones\4fb9c88f,eng ENG,MF,20,15,10,851,9.5,1,1,1,0,0,0,0,0.11,0.11,0.21,0.11,0.21,0.9,0.9,0.6,1.6,0.1,0.07,0.16,0.1,0.16,Matches
Kostas Tsimikas\f315ca93,gr GRE,DF,25,13,9,877,9.7,0,2,0,0,0,3,0,0,0.21,0.21,0,0.21,0.5,0.5,2.6,3.1,0.06,0.26,0.32,0.06,0.32,Matches
James Milner\2f90f6b8,eng ENG,MFDF,35,24,9,853,9.5,0,1,0,0,0,2,0,0,0.11,0.11,0,0.11,0.3,0.3,2.2,2.4,0.03,0.23,0.26,0.03,0.26,Matches
Alex Oxlade-Chamberlain\38c7feef,eng ENG,MFFW,27,17,9,785,8.7,2,1,2,0,0,0,0,0.23,0.11,0.34,0.23,0.34,1.2,1.2,0.9,2.1,0.14,0.11,0.24,0.14,0.24,Matches
Harvey Elliott\c8387671,eng ENG,MF,18,6,4,346,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0.5,1.4,0.23,0.12,0.35,0.23,0.35,Matches
Joe Gomez\7a11550b,eng ENG,DF,24,8,4,331,3.7,0,1,0,0,0,2,0,0,0.27,0.27,0,0.27,0,0,0.5,0.5,0,0.13,0.13,0,0.13,Matches
Caoimhín Kelleher\62d7ef38,ie IRL,GK,22,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Takumi Minamino\f833a830,jp JPN,FWMF,26,11,1,186,2.1,3,0,3,0,0,1,0,1.45,0,1.45,1.45,1.45,1.8,1.8,0.5,2.3,0.88,0.25,1.13,0.88,1.13,Matches
Tyler Morton\2bc28bb9,eng ENG,MF,18,2,1,66,0.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Divock Origi\43a166b4,be BEL,FW,26,7,0,133,1.5,3,0,3,0,0,0,0,2.03,0,2.03,2.03,2.03,1.6,1.6,0,1.6,1.08,0,1.08,1.08,1.08,Matches
Kaide Gordon\19a9cb70,eng ENG,FW,16,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,4.48,0,4.48,4.48,4.48,Matches
Neco Williams\dd323728,wls WAL,DF,20,1,0,8,0.1,0,1,0,0,0,0,0,0,11.25,11.25,0,11.25,0,0,0.6,0.6,0,6.5,6.5,0,6.5,Matches
Adrián\f76e6b4e,es ESP,GK,34,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Owen Beck\a011a1e9,wls WAL,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Conor Bradley\bbd67769,nir NIR,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Nathaniel Phillips\515ebe8d,eng ENG,DF,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Marcelo Pitaluga\b3cafda8,br BRA,GK,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Jarrell Quansah\4125cb98,eng ENG,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Rhys Williams\012c975a,eng ENG,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ben Woodburn\8aadeaef,wls WAL,FWMF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,27.7,38,418,3420,38,94,71,87,7,8,50,1,2.47,1.87,4.34,2.29,4.16,89.2,83.5,60.1,143.5,2.35,1.58,3.93,2.2,3.78,
Opponent Total,,,26.7,38,418,3420,38,25,18,25,0,0,63,3,0.66,0.47,1.13,0.66,1.13,34.2,34.2,27.6,61.8,0.9,0.73,1.63,0.9,1.63,
